instance,family,bks,greedy,ub_bks,s_bks,ub_greedy,s_greedy
D_n055_019_a75_057,D,2173.0,2162.0,2173.0003101966104,2.0,2174.2721970248153,1.5
EC_n060_012_a75_036,EC,1757.0,1756.0,1757.0000000260331,1.7,1757.1417142672256,1.6
C_n050_004_a75_012,C,2062.0,2061.0,2062.0000000200002,0.4,2062.139066070623,0.4
D_n045_007_a75_021,D,1369.0,1369.0,1369.0000000305613,0.6,1369.0000000305613,0.6
EC_n050_004_a75_012,EC,2060.0,2059.0,2060.0000000200007,0.5,2060.0000997880866,0.4
C_n055_009_a75_027,C,2373.0,2372.0,2373.0000000107675,0.5,2373.1390599818906,0.5
D_n055_020_a75_060,D,1958.0,1947.0,1957.999999999999,1.8,1958.9252186189394,2.1
C_n065_018_a75_054,C,2146.0,2144.0,2146.000000020007,2.5,2146.27756402272,2.4
D_n050_011_a75_033,D,1464.0,1463.0,1464.0000000489883,1.7,1464.1248450922865,1.6
C_n065_020_a75_060,C,2489.0,2466.0,2489.000000038748,2.2,2489.9093912983717,1.5
D_n045_006_a75_018,D,1245.0,1243.0,1245.0000543769863,1.5,1245.252779047605,1.2
C_n055_008_a75_024,C,1617.0,1613.0,1617.000000085194,1.9,1617.357750724743,0.9
D_n040_004_a75_012,D,1537.0,1534.0,1536.9999999999993,0.0,1537.0000000000002,0.1
C_n050_003_a75_009,C,1595.0,1594.0,1595.000000000001,0.1,1594.9999999999989,0.1
D_n045_010_a75_030,D,1613.0,1612.0,1613.0000000331486,0.6,1613.0845953259982,0.7
C_n050_002_a75_006,C,1495.0,1491.0,1495.000000291923,0.3,1495.4302189552418,0.3
C_n060_012_a75_036,C,1759.0,1759.0,1759.0000000000005,0.1,1759.0000000000005,0.1
C_n070_023_a75_069,C,2359.0,2359.0,2359.0000000404534,3.1,2359.0000000404534,3.0
C_n070_025_a75_075,C,2601.0,2599.0,2601.0000023474627,1.8,2601.507565841846,1.7
