instance,status,final_ub_cert,refine_ub_float,ub_decimal_strict,ub_decimal_with_tol,lag_float,lag_decimal_str,passes_strict,passes_tol,required_eps_safeguard,delta_float,delta_decimal
B_n150_027_a25_079,PASS,3500,3500,3500,3500,3500.000091,3500.000091,True,True,False,9.1e-05,9.1e-05
B_n150_027_a50_080,PASS,5286,5286,5286,5286,5286.181166,5286.181166,True,True,False,0.181166,0.181166
B_n150_027_a75_081,PASS,5421,5421,5421,5421,5421.007188,5421.007188,True,True,False,0.007188,0.007188
B_n150_028_a25_082,PASS,3893,3893,3893,3893,3893.141151,3893.141151,True,True,False,0.141151,0.141151
B_n150_028_a50_083,PASS,5077,5077,5077,5077,5077.105071,5077.105071,True,True,False,0.105071,0.105071
B_n150_028_a75_084,PASS,5330,5330,5330,5330,5330.0,5330.000000,True,True,False,0.0,0.0
B_n150_029_a25_085,PASS,4599,4599,4599,4599,4599.698512,4599.698512,True,True,False,0.698512,0.698512
B_n150_029_a50_086,PASS,6102,6102,6102,6102,6102.0,6102.000000,True,True,False,0.0,0.0
B_n150_029_a75_087,PASS,6185,6185,6185,6185,6185.0,6185.000000,True,True,False,0.0,0.0
B_n150_030_a25_088,PASS,3550,3550,3550,3550,3550.001306,3550.001306,True,True,False,0.001306,0.001306
B_n150_030_a50_089,PASS,4974,4974,4974,4974,4974.54013,4974.540130,True,True,False,0.54013,0.54013
B_n150_030_a75_090,PASS,5282,5282,5282,5282,5282.028349,5282.028349,True,True,False,0.028349,0.028349
C_n050_001_a25_001,PASS,735,735,735,735,735.0,735.000000,True,True,False,0.0,0.0
C_n050_001_a50_002,PASS,1236,1236,1236,1236,1236.0,1236.000000,True,True,False,0.0,0.0
C_n050_001_a75_003,PASS,1445,1445,1445,1445,1445.0,1445.000000,True,True,False,0.0,0.0
C_n050_002_a25_004,PASS,783,783,783,783,783.0,783.000000,True,True,False,0.0,0.0
C_n050_002_a50_005,PASS,1257,1257,1257,1257,1257.0,1257.000000,True,True,False,0.0,0.0
C_n050_002_a75_006,PASS,1495,1495,1495,1495,1495.0,1495.000000,True,True,False,0.0,0.0
C_n050_003_a25_007,PASS,994,994,994,994,994.0,994.000000,True,True,False,0.0,0.0
C_n050_003_a50_008,PASS,1362,1362,1362,1362,1362.0,1362.000000,True,True,False,0.0,0.0
C_n050_003_a75_009,PASS,1595,1595,1595,1595,1595.0,1595.000000,True,True,False,0.0,0.0
C_n050_004_a25_010,PASS,1242,1242,1242,1242,1242.0,1242.000000,True,True,False,0.0,0.0
C_n050_004_a50_011,PASS,2017,2017,2017,2017,2017.019541,2017.019541,True,True,False,0.019541,0.019541
C_n050_004_a75_012,PASS,2062,2062,2062,2062,2062.0,2062.000000,True,True,False,0.0,0.0
C_n050_005_a25_013,PASS,1077,1077,1077,1077,1077.0,1077.000000,True,True,False,0.0,0.0
C_n050_005_a50_014,PASS,1684,1684,1684,1684,1684.0,1684.000000,True,True,False,0.0,0.0
C_n050_005_a75_015,PASS,1737,1737,1737,1737,1737.0,1737.000000,True,True,False,0.0,0.0
C_n055_006_a25_016,PASS,975,975,975,975,975.0,975.000000,True,True,False,0.0,0.0
C_n055_006_a50_017,PASS,1540,1540,1540,1540,1540.0,1540.000000,True,True,False,0.0,0.0
C_n055_006_a75_018,PASS,1589,1589,1589,1589,1589.0,1589.000000,True,True,False,0.0,0.0
C_n055_007_a25_019,PASS,804,804,804,804,804.0,804.000000,True,True,False,0.0,0.0
C_n055_007_a50_020,PASS,1368,1368,1368,1368,1368.0,1368.000000,True,True,False,0.0,0.0
C_n055_007_a75_021,PASS,1623,1623,1623,1623,1623.0,1623.000000,True,True,False,0.0,0.0
C_n055_008_a25_022,PASS,1004,1004,1004,1004,1004.0,1004.000000,True,True,False,0.0,0.0
C_n055_008_a50_023,PASS,1381,1381,1381,1381,1381.0,1381.000000,True,True,False,0.0,0.0
C_n055_008_a75_024,PASS,1617,1617,1617,1617,1617.0,1617.000000,True,True,False,0.0,0.0
C_n055_009_a25_025,PASS,1353,1353,1353,1353,1353.0,1353.000000,True,True,False,0.0,0.0
