instance,family,n,K,alpha,gap,distance,tier
C_n060_014_a75_042,C,60,3,0.75,0.0,Line,exact
C_n060_015_a25_043,C,60,3,0.25,0.63038,Line,0.5-1%
C_n060_015_a50_044,C,60,3,0.5,0.028254,Line,<0.5%
C_n060_015_a75_045,C,60,3,0.75,0.045662,Line,<0.5%
C_n065_016_a25_046,C,65,3,0.25,0.538246,Line,0.5-1%
C_n065_016_a50_047,C,65,3,0.5,0.075091,Line,<0.5%
C_n065_016_a75_048,C,65,3,0.75,0.051975,Line,<0.5%
C_n065_017_a25_049,C,65,3,0.25,0.751649,Line,0.5-1%
C_n065_017_a50_050,C,65,3,0.5,0.051787,Line,<0.5%
C_n065_017_a75_051,C,65,3,0.75,0.0,Line,exact
C_n065_018_a25_052,C,65,3,0.25,0.0,Line,exact
C_n065_018_a50_053,C,65,3,0.5,0.17816,Line,<0.5%
C_n065_018_a75_054,C,65,3,0.75,0.0,Line,exact
C_n065_019_a25_055,C,65,3,0.25,1.239801,Line,1-2%
C_n065_019_a50_056,C,65,3,0.5,0.560959,Line,0.5-1%
C_n065_019_a75_057,C,65,3,0.75,0.0,Line,exact
C_n065_020_a25_058,C,65,3,0.25,0.741586,Line,0.5-1%
C_n065_020_a50_059,C,65,3,0.5,1.283359,Line,1-2%
C_n065_020_a75_060,C,65,3,0.75,0.0,Line,exact
C_n070_021_a25_061,C,70,3,0.25,1.262399,Line,1-2%
C_n070_021_a50_062,C,70,3,0.5,0.172817,Line,<0.5%
C_n070_021_a75_063,C,70,3,0.75,0.04914,Line,<0.5%
C_n070_022_a25_064,C,70,3,0.25,0.930757,Line,0.5-1%
C_n070_022_a50_065,C,70,3,0.5,1.203659,Line,1-2%
C_n070_022_a75_066,C,70,3,0.75,0.0,Line,exact
C_n070_023_a25_067,C,70,3,0.25,0.324496,Line,<0.5%
C_n070_023_a50_068,C,70,3,0.5,0.060701,Line,<0.5%
C_n070_023_a75_069,C,70,3,0.75,0.0,Line,exact
C_n070_024_a25_070,C,70,3,0.25,1.345291,Line,1-2%
C_n070_024_a50_071,C,70,3,0.5,0.229997,Line,<0.5%
C_n070_024_a75_072,C,70,3,0.75,0.0,Line,exact
C_n070_025_a25_073,C,70,3,0.25,1.362142,Line,1-2%
C_n070_025_a50_074,C,70,3,0.5,1.812204,Line,1-2%
C_n070_025_a75_075,C,70,3,0.75,0.0,Line,exact
C_n075_026_a25_076,C,75,3,0.25,0.318134,Line,<0.5%
C_n075_026_a50_077,C,75,3,0.5,1.85176,Line,1-2%
C_n075_026_a75_078,C,75,3,0.75,0.242718,Line,<0.5%
C_n075_027_a25_079,C,75,3,0.25,0.00618,Line,<0.5%
C_n075_027_a50_080,C,75,3,0.5,0.99728,Line,0.5-1%
C_n075_027_a75_081,C,75,3,0.75,0.044783,Line,<0.5%
C_n075_028_a25_082,C,75,3,0.25,0.294374,Line,<0.5%
C_n075_028_a50_083,C,75,3,0.5,0.325963,Line,<0.5%
C_n075_028_a75_084,C,75,3,0.75,0.077429,Line,<0.5%
C_n075_029_a25_085,C,75,3,0.25,0.239278,Line,<0.5%
C_n075_029_a50_086,C,75,3,0.5,0.651735,Line,0.5-1%
C_n075_029_a75_087,C,75,3,0.75,0.0,Line,exact
C_n075_030_a25_088,C,75,3,0.25,0.033753,Line,<0.5%
C_n075_030_a50_089,C,75,3,0.5,1.446828,Line,1-2%
C_n075_030_a75_090,C,75,3,0.75,0.827048,Line,0.5-1%
C_n080_031_a25_091,C,80,3,0.25,0.401026,Line,<0.5%
C_n080_031_a50_092,C,80,3,0.5,1.520045,Line,1-2%
C_n080_031_a75_093,C,80,3,0.75,0.240435,Line,<0.5%
C_n080_032_a25_094,C,80,3,0.25,0.028612,Line,<0.5%
C_n080_032_a50_095,C,80,3,0.5,1.122856,Line,1-2%
C_n080_032_a75_096,C,80,3,0.75,0.081202,Line,<0.5%
C_n080_033_a25_097,C,80,3,0.25,0.28504,Line,<0.5%
C_n080_033_a50_098,C,80,3,0.5,0.506879,Line,0.5-1%
C_n080_033_a75_099,C,80,3,0.75,0.035663,Line,<0.5%
C_n080_034_a25_100,C,80,3,0.25,0.206802,Line,<0.5%
C_n080_034_a50_101,C,80,3,0.5,0.94879,Line,0.5-1%
C_n080_034_a75_102,C,80,3,0.75,0.029189,Line,<0.5%
C_n080_035_a25_103,C,80,3,0.25,0.100058,Line,<0.5%
C_n080_035_a50_104,C,80,3,0.5,1.373948,Line,1-2%
C_n080_035_a75_105,C,80,3,0.75,0.767748,Line,0.5-1%
D_n040_001_a25_001,D,40,4,0.25,0.0,Line,exact
D_n040_001_a50_002,D,40,4,0.5,1.552827,Line,1-2%
D_n040_001_a75_003,D,40,4,0.75,0.0,Line,exact
D_n040_002_a25_004,D,40,4,0.25,0.0,Line,exact
D_n040_002_a50_005,D,40,4,0.5,0.434347,Line,<0.5%
