instance,family,seed,iters,obj_adaptive,obj_frozen,delta,s_adaptive,s_frozen,d_weights_adaptive,r_weights_adaptive,d_usage_adaptive,r_usage_adaptive,d_usage_frozen,r_usage_frozen,acc_worse_adaptive,acc_worse_frozen,isolation_leak,error
ED_n075_037_a25_109,ED,1337,200,1273.0,1273.0,0.0,43.86,46.11,"[4.6821, 6.9169, 5.5623]","[6.6827, 6.7975, 4.5438, 5.596]","[63, 83, 54]","[50, 51, 44, 55]","[74, 76, 50]","[56, 42, 48, 54]",161,168,,
ED_n075_037_a25_109,ED,2024,200,1273.0,1273.0,0.0,35.78,39.33,"[4.5684, 6.92, 6.2296]","[6.9031, 6.955, 4.8973, 5.3473]","[44, 78, 78]","[60, 52, 47, 41]","[64, 77, 59]","[50, 48, 60, 42]",163,161,,
ED_n075_039_a50_116,ED,42,200,2952.0,2940.0,12.0,489.44,549.84,"[4.6111, 8.0352, 5.1986]","[7.0346, 6.3168, 6.3045, 4.7943]","[52, 81, 67]","[57, 52, 55, 36]","[66, 62, 72]","[47, 44, 60, 49]",124,123,,
ED_n075_039_a50_116,ED,123,200,2943.0,2943.0,0.0,438.41,517.47,"[4.5307, 7.1365, 5.1969]","[6.8892, 6.2541, 4.9989, 4.8405]","[54, 84, 62]","[63, 56, 40, 41]","[62, 70, 68]","[62, 48, 48, 42]",144,140,,
ED_n075_039_a50_116,ED,456,200,3049.0,2958.0,91.0,365.67,460.34,"[4.7782, 7.6483, 5.0931]","[6.7389, 7.0619, 4.9989, 4.6863]","[52, 85, 63]","[54, 68, 30, 48]","[69, 62, 69]","[54, 54, 50, 42]",137,136,,
ED_n075_039_a50_116,ED,789,200,3030.0,3030.0,0.0,460.73,461.64,"[4.367, 7.8376, 5.1963]","[7.8906, 5.8173, 5.1626, 5.7333]","[42, 99, 59]","[62, 47, 46, 45]","[61, 82, 57]","[55, 47, 47, 51]",132,123,,
ED_n075_039_a50_116,ED,1337,200,3028.0,3028.0,0.0,426.77,472.3,"[5.0626, 7.1647, 5.7794]","[7.507, 6.8665, 4.446, 4.7637]","[66, 75, 59]","[57, 61, 38, 44]","[66, 64, 70]","[57, 37, 51, 55]",139,134,,
ED_n075_039_a50_116,ED,2024,200,2942.0,3040.0,-98.0,476.6,548.45,"[5.3603, 7.2667, 5.5301]","[6.7914, 7.5665, 5.3336, 5.0327]","[56, 70, 74]","[57, 48, 50, 45]","[63, 72, 65]","[48, 45, 62, 45]",137,120,,
ED_n075_040_a25_118,ED,42,200,1587.0,1587.0,0.0,132.29,128.16,"[5.8413, 7.0693, 6.7441]","[7.4381, 7.3773, 5.2411, 5.5662]","[61, 65, 74]","[54, 58, 43, 45]","[68, 64, 68]","[47, 58, 47, 48]",161,161,,
ED_n075_040_a25_118,ED,123,200,1588.0,1588.0,0.0,133.47,135.71,"[6.7374, 7.0596, 6.9678]","[7.8163, 7.497, 6.1035, 6.0933]","[71, 61, 68]","[70, 47, 48, 35]","[70, 66, 64]","[54, 49, 49, 48]",164,161,,
ED_n075_040_a25_118,ED,456,200,1588.0,1579.0,9.0,110.28,120.43,"[6.4006, 6.9149, 7.7048]","[7.3035, 7.7183, 6.8454, 6.0987]","[56, 72, 72]","[57, 50, 50, 43]","[56, 69, 75]","[62, 44, 48, 46]",166,162,,
ED_n075_040_a25_118,ED,789,200,1488.0,1489.0,-1.0,103.4,119.39,"[7.2988, 6.9991, 6.4837]","[7.1411, 7.4948, 6.4166, 6.1401]","[81, 58, 61]","[65, 56, 39, 40]","[64, 80, 56]","[43, 48, 54, 55]",161,162,,
ED_n075_040_a25_118,ED,1337,200,1588.0,1586.0,2.0,128.43,125.15,"[6.5703, 7.6453, 7.0333]","[7.4641, 8.2406, 5.6938, 6.8518]","[82, 58, 60]","[45, 59, 47, 49]","[79, 58, 63]","[49, 51, 49, 51]",160,155,,
ED_n075_040_a25_118,ED,2024,200,1587.0,1588.0,-1.0,128.82,130.99,"[6.8854, 7.6671, 6.9128]","[8.2247, 7.7836, 6.6744, 4.9242]","[59, 70, 71]","[59, 61, 47, 33]","[63, 70, 67]","[63, 53, 46, 38]",162,169,,
ED_n075_040_a75_120,ED,42,200,2731.0,2721.0,10.0,485.43,501.69,"[5.4049, 7.2842, 6.5353]","[7.4693, 6.3177, 6.4482, 5.9491]","[62, 69, 69]","[49, 61, 48, 42]","[66, 65, 69]","[46, 60, 51, 43]",143,137,,
ED_n075_040_a75_120,ED,123,200,2730.0,2730.0,0.0,411.55,442.79,"[4.9701, 7.7368, 6.4951]","[7.557, 7.5171, 4.9424, 5.4367]","[61, 75, 64]","[55, 49, 39, 57]","[71, 63, 66]","[41, 53, 54, 52]",144,143,,
ED_n075_040_a75_120,ED,456,200,2721.0,2723.0,-2.0,401.69,479.9,"[6.0381, 7.6001, 6.2422]","[7.3319, 7.6254, 5.5318, 5.1643]","[62, 83, 55]","[57, 66, 41, 36]","[62, 72, 66]","[47, 52, 55, 46]",150,150,,
ED_n075_040_a75_120,ED,789,200,2721.0,2722.0,-1.0,513.45,514.62,"[5.9227, 7.3149, 6.6713]","[6.6943, 7.6963, 6.3267, 5.8054]","[62, 70, 68]","[48, 58, 52, 42]","[66, 70, 64]","[43, 44, 51, 62]",140,140,,
ED_n075_040_a75_120,ED,1337,200,2721.0,2721.0,0.0,392.38,426.23,"[6.7925, 7.9564, 6.4395]","[7.5152, 7.827, 6.5727, 6.6978]","[64, 74, 62]","[50, 48, 48, 54]","[73, 57, 70]","[48, 55, 46, 51]",157,138,,
ED_n075_040_a75_120,ED,2024,200,2729.0,2729.0,0.0,472.74,484.23,"[5.271, 7.5501, 6.5829]","[6.7807, 7.4154, 4.9543, 6.4864]","[59, 72, 69]","[50, 54, 44, 52]","[65, 66, 69]","[49, 42, 55, 54]",147,140,,
ED_n080_042_a25_124,ED,42,200,1294.0,1264.0,30.0,71.22,78.01,"[5.916, 7.4186, 5.9731]","[7.5979, 7.0662, 5.3678, 5.7017]","[62, 79, 59]","[43, 64, 44, 49]","[68, 63, 69]","[58, 52, 43, 47]",148,150,,
ED_n080_042_a25_124,ED,123,200,1264.0,1305.0,-41.0,81.26,76.84,"[5.5617, 7.5568, 5.7209]","[7.2952, 6.2964, 6.0256, 5.0866]","[63, 71, 66]","[63, 44, 45, 48]","[78, 58, 64]","[55, 43, 44, 58]",154,158,,
ED_n080_042_a25_124,ED,456,200,1295.0,1293.0,2.0,79.6,76.64,"[5.7063, 7.3672, 5.8775]","[7.1582, 7.2248, 5.4427, 5.7318]","[61, 77, 62]","[51, 42, 42, 65]","[62, 76, 62]","[44, 51, 52, 53]",151,143,,
ED_n080_042_a25_124,ED,789,200,1295.0,1295.0,0.0,86.56,96.86,"[6.0287, 7.2395, 6.3127]","[7.525, 6.9249, 5.881, 5.3307]","[67, 67, 66]","[50, 59, 52, 39]","[77, 61, 62]","[37, 55, 58, 50]",164,153,,
ED_n080_042_a25_124,ED,1337,200,1295.0,1295.0,0.0,81.3,85.48,"[5.2587, 7.2009, 6.1991]","[7.663, 6.984, 5.4806, 5.8391]","[45, 91, 64]","[61, 44, 51, 44]","[58, 79, 63]","[62, 46, 52, 40]",167,168,,
ED_n080_042_a25_124,ED,2024,200,1304.0,1295.0,9.0,75.17,84.23,"[5.9895, 7.372, 6.0121]","[7.1712, 6.759, 4.894, 6.3489]","[66, 74, 60]","[59, 58, 40, 43]","[68, 69, 63]","[48, 50, 50, 52]",161,159,,
ED_n080_045_a25_133,ED,42,200,1679.0,1680.0,-1.0,136.22,132.22,"[6.7965, 7.5338, 5.7984]","[7.3179, 8.5881, 6.408, 5.6315]","[66, 77, 57]","[47, 48, 55, 50]","[64, 72, 64]","[42, 56, 42, 60]",160,167,,
ED_n080_045_a25_133,ED,123,200,1589.0,1680.0,-91.0,128.14,130.37,"[6.2908, 7.4982, 6.6906]","[6.9364, 7.368, 5.8791, 6.4221]","[72, 63, 65]","[67, 46, 49, 38]","[73, 52, 75]","[63, 38, 57, 42]",153,152,,
ED_n080_045_a25_133,ED,456,200,1680.0,1681.0,-1.0,180.82,181.44,"[6.452, 7.0476, 6.5416]","[7.06, 6.7043, 6.3639, 6.6283]","[59, 69, 72]","[44, 63, 54, 39]","[55, 76, 69]","[52, 49, 57, 42]",166,162,,
ED_n080_045_a25_133,ED,789,200,1680.0,1589.0,91.0,146.53,147.78,"[6.0222, 7.0956, 7.2461]","[7.2271, 7.9163, 6.7072, 5.1089]","[57, 76, 67]","[53, 55, 46, 46]","[73, 60, 67]","[44, 46, 52, 58]",156,149,,
ED_n080_045_a25_133,ED,1337,200,1680.0,1680.0,0.0,153.44,156.7,"[6.3909, 6.9578, 6.3004]","[6.9348, 7.522, 6.0308, 4.459]","[72, 58, 70]","[62, 57, 47, 34]","[75, 59, 66]","[56, 44, 49, 51]",159,153,,
ED_n080_045_a25_133,ED,2024,200,1680.0,1671.0,9.0,152.92,127.76,"[5.6616, 7.2116, 6.8419]","[7.3666, 6.994, 5.8612, 6.4559]","[55, 77, 68]","[56, 48, 50, 46]","[71, 66, 63]","[54, 51, 44, 51]",158,166,,
ED_n080_045_a75_135,ED,42,200,2933.0,2925.0,8.0,614.73,530.85,"[4.8341, 7.7427, 6.3714]","[7.4531, 7.6126, 5.8248, 5.0647]","[56, 77, 67]","[55, 49, 52, 44]","[71, 63, 66]","[55, 41, 51, 53]",137,140,,
ED_n080_045_a75_135,ED,123,200,2931.0,2931.0,0.0,492.81,619.19,"[5.602, 7.3696, 6.2953]","[7.0876, 6.9236, 4.3908, 5.8172]","[66, 65, 69]","[68, 58, 37, 37]","[71, 61, 68]","[61, 49, 58, 32]",138,144,,
ED_n080_045_a75_135,ED,456,200,2933.0,2925.0,8.0,489.26,540.67,"[4.797, 7.8037, 7.2267]","[7.0079, 7.5295, 6.4813, 5.6338]","[51, 82, 67]","[54, 62, 46, 38]","[62, 71, 67]","[50, 54, 49, 47]",146,131,,
ED_n080_045_a75_135,ED,789,200,2930.0,2930.0,0.0,537.71,529.11,"[5.9578, 7.6424, 7.2329]","[8.0427, 7.1898, 6.6946, 6.6302]","[59, 70, 71]","[40, 67, 51, 42]","[68, 69, 63]","[50, 65, 47, 38]",158,148,,
ED_n080_045_a75_135,ED,1337,200,2922.0,2924.0,-2.0,482.46,483.64,"[5.0773, 7.6888, 6.1702]","[7.5607, 7.4496, 4.9236, 5.7029]","[58, 82, 60]","[54, 63, 42, 41]","[67, 68, 65]","[46, 45, 45, 64]",142,129,,
ED_n080_045_a75_135,ED,2024,200,2929.0,2929.0,0.0,454.75,571.33,"[4.9077, 7.3311, 6.5129]","[7.5367, 7.2455, 4.22, 4.9968]","[57, 74, 69]","[67, 47, 37, 49]","[46, 84, 70]","[55, 50, 53, 42]",135,142,,
