family,instance,arm_id,best_ub,warm_mu,obj,cert_gap_pct,stop_reason,phases,ec_gain,total_rt_s,error
D,D_n040_001_a25_001,A2,715.0000,0,715.0,0.000000,UB,1,0,0.2,
D,D_n040_001_a25_001,A3,715.0000,0,715.0,0.000000,UB,1,0,0.2,
D,D_n040_001_a25_001,A4,715.0000,0,715.0,0.000000,UB,1,0,0.2,
D,D_n040_001_a25_001,A5,715.0000,0,715.0,0.000000,UB,1,0,0.2,
D,D_n050_011_a50_032,A1,1418.0000,0,1418.0,0.000000,UB,1,0,165.2,
D,D_n050_011_a50_032,A2,1418.0000,0,1418.0,0.000000,UB,1,0,53.7,
D,D_n050_011_a50_032,A3,1418.0000,0,1418.0,0.000000,UB,1,0,55.5,
D,D_n050_011_a50_032,A4,1418.0000,0,1418.0,0.000000,UB,1,0,60.7,
D,D_n050_011_a50_032,A5,1418.0000,0,1418.0,0.000000,UB,1,0,62.6,
D,D_n060_021_a75_063,A1,1700.0000,0,1699.0,0.058824,GAP<threshold,1,0,343.3,
D,D_n060_021_a75_063,A2,1700.0000,0,1699.0,0.058824,GAP<threshold,1,2,379.1,
D,D_n060_021_a75_063,A3,1700.0000,0,1699.0,0.058824,GAP<threshold,1,2,377.6,
D,D_n060_021_a75_063,A4,1700.0000,0,1699.0,0.058824,GAP<threshold,1,2,377.0,
D,D_n060_021_a75_063,A5,1700.0000,0,1699.0,0.058824,GAP<threshold,1,2,379.6,
D,D_n070_031_a25_091,A1,1276.0000,0,1275.0,0.078370,GAP<threshold,2,0,606.1,
D,D_n070_031_a25_091,A2,1276.0000,0,1275.0,0.078370,GAP<threshold,1,0,306.7,
D,D_n070_031_a25_091,A3,1276.0000,0,1275.0,0.078370,GAP<threshold,1,0,306.9,
D,D_n070_031_a25_091,A4,1276.0000,0,1275.0,0.078370,GAP<threshold,1,0,306.6,
D,D_n070_031_a25_091,A5,1276.0000,0,1275.0,0.078370,GAP<threshold,1,0,305.7,
D,D_n080_041_a50_122,A1,2235.0000,0,2227.0,0.357942,TIERS_EXHAUSTED,5,0,1857.5,
D,D_n080_041_a50_122,A2,2235.0000,0,2230.0,0.223714,RT_CAP,6,2,1993.4,
D,D_n080_041_a50_122,A3,2235.0000,0,2230.0,0.223714,TIERS_EXHAUSTED,5,2,1651.4,
D,D_n080_041_a50_122,A4,2235.0000,0,2230.0,0.223714,TIERS_EXHAUSTED,5,2,1831.3,
D,D_n080_041_a50_122,A5,2235.0000,0,2230.0,0.223714,RT_CAP,6,2,1947.4,
EB,EB_n100_001_a25_001,A1,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,300.9,
EB,EB_n100_001_a25_001,A2,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,300.5,
EB,EB_n100_001_a25_001,A3,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,300.9,
EB,EB_n100_001_a25_001,A4,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,301.1,
EB,EB_n100_001_a25_001,A5,1611.0000,0,1609.0,0.124146,GAP<threshold,1,0,300.7,
EB,EB_n110_006_a50_017,A1,3259.0000,0,3243.0,0.490948,TIERS_EXHAUSTED,4,0,1274.8,
EB,EB_n110_006_a50_017,A2,3259.0000,0,3252.0,0.214790,GAP<threshold,1,0,305.6,
EB,EB_n110_006_a50_017,A3,3259.0000,0,3252.0,0.214790,GAP<threshold,1,0,305.0,
EB,EB_n110_006_a50_017,A4,3259.0000,0,3252.0,0.214790,GAP<threshold,1,0,305.4,
EB,EB_n110_006_a50_017,A5,3259.0000,0,3252.0,0.214790,GAP<threshold,1,0,305.4,
EB,EB_n120_011_a75_033,A1,4072.0000,0,4072.0,0.000000,GAP<threshold,1,1,311.3,
EB,EB_n120_011_a75_033,A2,4072.0000,0,4071.0,0.024558,GAP<threshold,1,0,305.1,
EB,EB_n120_011_a75_033,A3,4072.0000,0,4071.0,0.024558,GAP<threshold,1,0,305.2,
EB,EB_n120_011_a75_033,A4,4072.0000,0,4071.0,0.024558,GAP<threshold,1,1,308.0,
EB,EB_n120_011_a75_033,A5,4072.0000,0,4071.0,0.024558,GAP<threshold,1,1,305.5,
EB,EB_n140_021_a25_061,A1,2544.0000,0,2537.0,0.275157,GAP<threshold,1,0,301.7,
EB,EB_n140_021_a25_061,A2,2544.0000,0,2538.0,0.235849,GAP<threshold,1,0,303.2,
EB,EB_n140_021_a25_061,A3,2544.0000,0,2538.0,0.235849,GAP<threshold,1,0,301.5,
EB,EB_n140_021_a25_061,A4,2544.0000,0,2538.0,0.235849,GAP<threshold,1,0,301.6,
EB,EB_n140_021_a25_061,A5,2544.0000,0,2538.0,0.235849,GAP<threshold,1,0,304.0,
EB,EB_n150_026_a50_077,A1,4822.0000,0,4808.0,0.290336,GAP<threshold,2,0,614.1,
EB,EB_n150_026_a50_077,A2,4822.0000,0,4809.0,0.269598,GAP<threshold,1,0,310.7,
EB,EB_n150_026_a50_077,A3,4822.0000,0,4809.0,0.269598,GAP<threshold,1,0,314.6,
EB,EB_n150_026_a50_077,A4,4822.0000,0,4809.0,0.269598,GAP<threshold,1,0,311.0,
EB,EB_n150_026_a50_077,A5,4822.0000,0,4809.0,0.269598,GAP<threshold,1,0,315.0,
EC,EC_n050_001_a25_001,A1,421.0000,0,421.0,0.000000,UB,1,0,0.3,
EC,EC_n050_001_a25_001,A2,421.0000,0,421.0,0.000000,UB,1,0,0.2,
EC,EC_n050_001_a25_001,A3,421.0000,0,421.0,0.000000,UB,1,0,0.2,
EC,EC_n050_001_a25_001,A4,421.0000,0,421.0,0.000000,UB,1,0,0.2,
EC,EC_n050_001_a25_001,A5,421.0000,0,421.0,0.000000,UB,1,0,0.2,
