instance,family,n,alpha,gap_full,gap_norefresh,dgap,refreshes
EC_n080_032_a50_095,EC,80,0.5,0.4812,0.5682,0.08700000000000002,2.0
EC_n080_033_a25_097,EC,80,0.25,0.3311,0.3861,0.05499999999999999,2.0
EC_n080_035_a50_104,EC,80,0.5,0.4108,0.4108,0.0,2.0
ED_n040_004_a50_011,ED,40,0.5,0.9442,1.1986,0.25440000000000007,1.0
ED_n050_014_a50_041,ED,50,0.5,0.5565,1.1068,0.5503,2.0
ED_n055_019_a50_056,ED,55,0.5,0.5244,0.8364,0.31200000000000006,2.0
ED_n060_022_a50_065,ED,60,0.5,1.6421,1.7534,0.11130000000000018,2.0
ED_n060_022_a75_066,ED,60,0.75,0.5118,0.6135,0.10170000000000001,2.0
ED_n060_024_a25_070,ED,60,0.25,0.5556,1.105,0.5494,2.0
ED_n060_025_a50_074,ED,60,0.5,0.9833,1.3712,0.3879,2.0
ED_n065_027_a50_080,ED,65,0.5,1.0759,1.1319,0.05599999999999983,2.0
ED_n065_027_a75_081,ED,65,0.75,0.5045,0.7049,0.20040000000000002,2.0
ED_n065_028_a25_082,ED,65,0.25,0.4322,0.4322,0.0,1.0
ED_n065_029_a25_085,ED,65,0.25,0.5922,1.1773,0.5851000000000001,2.0
ED_n065_030_a25_088,ED,65,0.25,0.672,1.071,0.3989999999999999,2.0
ED_n070_032_a50_095,ED,70,0.5,0.5328,0.5328,0.0,2.0
ED_n070_032_a75_096,ED,70,0.75,0.6202,0.9039,0.28370000000000006,2.0
ED_n070_035_a25_103,ED,70,0.25,0.6716,1.0702,0.39860000000000007,2.0
ED_n075_037_a25_109,ED,75,0.25,0.702,0.9339,0.2319,2.0
ED_n075_039_a50_116,ED,75,0.5,0.3278,1.1057,0.7778999999999999,2.0
ED_n075_040_a25_118,ED,75,0.25,0.4389,0.8739,0.435,2.0
ED_n075_040_a75_120,ED,75,0.75,0.3285,0.6909,0.36239999999999994,2.0
ED_n080_042_a25_124,ED,80,0.25,0.6093,1.0614,0.45209999999999995,2.0
ED_n080_045_a25_133,ED,80,0.25,0.3557,0.4737,0.118,2.0
ED_n080_045_a75_135,ED,80,0.75,0.3059,0.6436,0.33769999999999994,1.0
