instance,family,incumbent,greedy,init_ub,init_raw,init_iters,refined_ub,refined_raw,refine_iters,refine_converged,final_ub,binding,final_gap_pct,cert_path,solve_s,error
EC_n070_022_a75_066,EC,2099.0,2088.0,2100,2100.52973,200,2099,2099.0,3000,0,2099,refined,0.0,results/certificates/EC_n070_022_a75_066.pkl,48.0,
EC_n070_023_a25_067,EC,1496.0,1475.0,1511,1511.649961,200,1501,1501.088708,3000,0,1501,refined,0.3331112591605596,results/certificates/EC_n070_023_a25_067.pkl,33.4,
EC_n070_023_a50_068,EC,2206.0,2202.0,2233,2233.886429,200,2216,2216.175527,3000,0,2216,refined,0.45126353790613716,results/certificates/EC_n070_023_a50_068.pkl,34.7,
EC_n070_023_a75_069,EC,2359.0,2359.0,2359,2359.0,200,2359,2359.0,3000,0,2359,initial,0.0,results/certificates/EC_n070_023_a75_069.pkl,52.7,
EC_n070_024_a25_070,EC,1671.0,1571.0,1672,1672.333333,200,1671,1671.0,549,1,1671,refined,0.0,results/certificates/EC_n070_024_a25_070.pkl,4.9,
EC_n070_024_a50_071,EC,2752.0,2750.0,2753,2753.634161,200,2752,2752.0,3000,0,2752,refined,0.0,results/certificates/EC_n070_024_a50_071.pkl,16.7,
EC_n070_024_a75_072,EC,3007.0,3005.0,3008,3008.275472,200,3008,3008.003563,3000,0,3008,initial,0.03324468085106383,results/certificates/EC_n070_024_a75_072.pkl,16.1,
EC_n070_025_a25_073,EC,1374.0,1374.0,1376,1376.318945,200,1374,1374.0,3000,0,1374,refined,0.0,results/certificates/EC_n070_025_a25_073.pkl,29.9,
EC_n070_025_a50_074,EC,2346.0,2344.0,2369,2369.441798,200,2346,2346.003945,3000,0,2346,refined,0.0,results/certificates/EC_n070_025_a50_074.pkl,24.6,
EC_n070_025_a75_075,EC,2599.0,2579.0,2602,2602.946358,200,2599,2599.0,3000,0,2599,refined,0.0,results/certificates/EC_n070_025_a75_075.pkl,24.1,
EC_n075_026_a25_076,EC,879.0,866.0,888,888.486142,200,879,879.000058,3000,0,879,refined,0.0,results/certificates/EC_n075_026_a25_076.pkl,47.3,
EC_n075_026_a50_077,EC,1970.0,1958.0,1975,1975.113308,200,1970,1970.523503,3000,0,1970,refined,0.0,results/certificates/EC_n075_026_a50_077.pkl,46.4,
EC_n075_026_a75_078,EC,2053.0,2049.0,2055,2055.416301,200,2055,2055.006212,3000,0,2055,initial,0.09732360097323602,results/certificates/EC_n075_026_a75_078.pkl,48.7,
EC_n075_027_a25_079,EC,1304.0,1275.0,1317,1317.772697,200,1305,1305.030849,3000,0,1305,refined,0.07662835249042146,results/certificates/EC_n075_027_a25_079.pkl,98.9,
EC_n075_027_a50_080,EC,2145.0,2133.0,2147,2147.829569,200,2145,2145.513048,3000,0,2145,refined,0.0,results/certificates/EC_n075_027_a50_080.pkl,87.6,
EC_n075_027_a75_081,EC,2221.0,2220.0,2222,2222.564532,200,2222,2222.010942,3000,0,2222,initial,0.045004500450045004,results/certificates/EC_n075_027_a75_081.pkl,92.0,
EC_n075_028_a25_082,EC,1697.0,1567.0,1727,1727.333333,200,1702,1702.147754,3000,0,1702,refined,0.2937720329024677,results/certificates/EC_n075_028_a25_082.pkl,97.6,
EC_n075_028_a50_083,EC,2435.0,2413.0,2459,2459.167303,200,2436,2436.026018,3000,0,2436,refined,0.041050903119868636,results/certificates/EC_n075_028_a50_083.pkl,62.6,
EC_n075_028_a75_084,EC,2581.0,2581.0,2581,2581.0,200,2581,2581.0,3000,0,2581,initial,0.0,results/certificates/EC_n075_028_a75_084.pkl,123.0,
EC_n075_029_a25_085,EC,1755.0,1555.0,1780,1780.0,200,1755,1755.0,3000,0,1755,refined,0.0,results/certificates/EC_n075_029_a25_085.pkl,34.0,
EC_n075_029_a50_086,EC,2982.0,2850.0,2991,2991.180328,200,2983,2983.026079,3000,0,2983,refined,0.03352329869259135,results/certificates/EC_n075_029_a50_086.pkl,27.2,
EC_n075_029_a75_087,EC,3221.0,3217.0,3221,3221.515245,200,3221,3221.0,3000,0,3221,initial,0.0,results/certificates/EC_n075_029_a75_087.pkl,29.9,
EC_n075_030_a25_088,EC,1484.0,1475.0,1488,1488.958499,200,1484,1484.000002,3000,0,1484,refined,0.0,results/certificates/EC_n075_030_a25_088.pkl,54.2,
EC_n075_030_a50_089,EC,2456.0,2452.0,2478,2478.982829,200,2464,2464.226586,3000,0,2464,refined,0.3246753246753247,results/certificates/EC_n075_030_a50_089.pkl,37.6,
EC_n075_030_a75_090,EC,2720.0,2709.0,2722,2722.161686,200,2720,2720.0,3000,0,2720,refined,0.0,results/certificates/EC_n075_030_a75_090.pkl,36.5,
EC_n080_031_a25_091,EC,1068.0,1055.0,1079,1079.492434,200,1068,1068.342833,3000,0,1068,refined,0.0,results/certificates/EC_n080_031_a25_091.pkl,47.8,
EC_n080_031_a50_092,EC,2180.0,2168.0,2184,2184.776477,200,2180,2180.523112,3000,0,2180,refined,0.0,results/certificates/EC_n080_031_a50_092.pkl,49.1,
EC_n080_031_a75_093,EC,2364.0,2351.0,2366,2366.275215,200,2365,2365.015906,3000,0,2365,refined,0.042283298097251586,results/certificates/EC_n080_031_a75_093.pkl,51.0,
EC_n080_032_a25_094,EC,1423.0,1295.0,1464,1464.333333,200,1424,1424.027315,3000,0,1424,refined,0.0702247191011236,results/certificates/EC_n080_032_a25_094.pkl,107.0,
EC_n080_032_a50_095,EC,2275.0,2262.0,2312,2312.762203,200,2283,2283.164191,3000,0,2283,refined,0.3504161191414805,results/certificates/EC_n080_032_a50_095.pkl,92.6,
EC_n080_032_a75_096,EC,2450.0,2449.0,2450,2450.509707,200,2450,2450.0,3000,0,2450,initial,0.0,results/certificates/EC_n080_032_a75_096.pkl,103.5,
EC_n080_033_a25_097,EC,1806.0,1667.0,1839,1839.666667,200,1811,1811.186961,3000,0,1811,refined,0.27609055770292656,results/certificates/EC_n080_033_a25_097.pkl,75.4,
