instance,family,n,alpha,group_id,bks,alns_obj,alns_runtime_s,lb1_ub,lb1_cert_pct,lb1_ub_runtime_s,lb2_ub,lb2_cert_pct,lb2_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,alns_lag_cert_tier,bks_gap_pct,alns_status,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note
B_n100_001_a25_001,B,100,0.25,001,2142,2142,494.0,2167.2,1.16,4.8,NA,NA,NA,2167.2,1.162791,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n100_001_a50_002,B,100,0.5,001,3025,3025,978.0,3026.7,0.06,10.1,NA,NA,NA,3026.7,0.056167,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_001_a75_003,B,100,0.75,001,3119,3119,734.0,3119.0,0.0,9.5,NA,NA,NA,3119.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_002_a25_004,B,100,0.25,002,2364,2364,488.0,2409.6,1.89,3.6,NA,NA,NA,2409.6,1.89243,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n100_002_a50_005,B,100,0.5,002,3173,3173,899.0,3207.2,1.07,4.5,NA,NA,NA,3207.2,1.066351,False,1-2%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_002_a75_006,B,100,0.75,002,3329,3329,990.0,3329.0,0.0,0.8,NA,NA,NA,3329.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_003_a25_007,B,100,0.25,003,2312,2312,536.0,2350.9,1.65,2.5,NA,NA,NA,2350.9,1.654685,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n100_003_a50_008,B,100,0.5,003,3179,3179,610.0,3179.8,0.03,3.1,NA,NA,NA,3179.8,0.025159,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_003_a75_009,B,100,0.75,003,3277,3277,831.0,3277.1,0.0,3.5,NA,NA,NA,3277.1,0.003051,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_004_a25_010,B,100,0.25,004,2831,2831,504.0,2880.0,1.7,2.3,NA,NA,NA,2880.0,1.701389,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n100_004_a50_011,B,100,0.5,004,4102,4102,599.0,4102.0,0.0,1.9,NA,NA,NA,4102.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_004_a75_012,B,100,0.75,004,4174,4174,895.0,4174.0,0.0,2.2,NA,NA,NA,4174.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_005_a25_013,B,100,0.25,005,2241,2241,466.0,2273.6,1.43,1.9,NA,NA,NA,2273.6,1.433849,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n100_005_a50_014,B,100,0.5,005,3344,3344,1055.0,3371.3,0.81,1.6,NA,NA,NA,3371.3,0.809777,False,0.5-1%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n100_005_a75_015,B,100,0.75,005,3512,3512,838.0,3512.0,0.0,1.6,NA,NA,NA,3512.0,0.0,True,exact,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_006_a25_016,B,110,0.25,006,2434,2434,374.0,2497.4,2.54,12.6,2473.0,1.58,34.3,2473.0,1.577032,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n110_006_a50_017,B,110,0.5,006,3465,3465,779.0,3501.2,1.03,17.5,NA,NA,NA,3501.2,1.033931,False,1-2%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_006_a75_018,B,110,0.75,006,3614,3614,841.0,3614.8,0.02,18.0,NA,NA,NA,3614.8,0.022131,False,<0.5%,+0.00%,TIE,0.0,5,5,1,optimal,
B_n110_007_a25_019,B,110,0.25,007,2510,2510,454.0,2551.0,1.61,3.8,NA,NA,NA,2551.0,1.607213,False,1-2%,+0.00%,TIE,0.0,4,5,1,optimal,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent)
B_n110_007_a50_020,B,110,0.5,007,3603,3602,1021.0,3644.3,1.16,4.4,NA,NA,NA,3644.3,1.160717,False,1-2%,+0.03%,GAP,0.0,5,5,1,optimal,
