instance,family,z,published_ub,fresh_raw,fresh_ub,verdict,iterations,converged,secs,error
ED_n040_001_a25_001,ED,412.0,412.0,411.9999999999999,412,CONFIRMED,71,1,0.1,
ED_n040_001_a50_002,ED,948.0,948.0,948.0000000019214,948,CONFIRMED,3000,0,5.6,
EC_n080_035_a75_105,EC,2932.0,2932.0,2932.0000000125,2932,CONFIRMED,3000,0,39.8,
ED_n040_002_a25_004,ED,212.0,212.0,212.00000000000003,212,CONFIRMED,33,1,0.1,
ED_n040_001_a75_003,ED,1201.0,1201.0,1201.0000000040052,1201,CONFIRMED,3000,0,7.3,
ED_n040_002_a50_005,ED,772.0,772.0,772.0000000752832,772,CONFIRMED,3000,0,4.1,
EC_n075_028_a75_084,EC,2581.0,2581.0,2581.000000001335,2581,CONFIRMED,3000,0,106.3,
ED_n040_003_a25_007,ED,352.0,352.0,352.0000000012198,352,CONFIRMED,3000,0,5.2,
ED_n040_003_a50_008,ED,994.0,994.0,994.0000000047776,994,CONFIRMED,3000,0,4.9,
ED_n040_004_a75_012,ED,1526.0,1526.0,1525.9999999999989,1526,CONFIRMED,29,1,0.1,
ED_n040_003_a75_009,ED,1138.0,1138.0,1138.0000000015625,1138,CONFIRMED,3000,0,5.2,
ED_n040_004_a25_010,ED,422.0,422.0,422.00000000065825,422,CONFIRMED,3000,0,6.3,
ED_n045_008_a75_024,ED,1471.0,1471.0,1471.9999999999993,1472,UNCONFIRMED,20,1,0.1,
ED_n040_005_a25_013,ED,445.0,445.0,445.000000002921,445,CONFIRMED,3000,0,5.7,
ED_n040_005_a75_015,ED,1466.0,1466.0,1466.0000000018904,1466,CONFIRMED,3000,0,5.6,
EC_n080_032_a75_096,EC,2450.0,2450.0,2450.0000001173157,2450,CONFIRMED,3000,0,90.4,
ED_n055_020_a50_059,ED,1790.0,1790.0,1790.000000000855,1790,CONFIRMED,3000,0,22.0,
ED_n055_016_a50_047,ED,1447.0,1447.0,1447.000000000976,1447,CONFIRMED,3000,0,28.3,
ED_n065_027_a25_079,ED,874.0,874.0,873.9999999999995,874,CONFIRMED,400,1,4.7,
ED_n055_016_a75_048,ED,1488.0,1488.0,1488.0000001979645,1488,CONFIRMED,3000,0,32.4,
ED_n060_023_a75_069,ED,2002.0,2002.0,2002.0000000401456,2002,CONFIRMED,3000,0,30.0,
ED_n070_033_a25_097,ED,1483.0,1483.0,1483.0000000021148,1483,CONFIRMED,3000,0,59.2,
ED_n070_032_a25_094,ED,974.0,974.0,974.0000000011299,974,CONFIRMED,3000,0,92.0,
EB_n130_017_a75_051,EB,4644.0,4644.0,4644.0,4644,CONFIRMED,3000,0,398.0,
ED_n070_031_a25_091,ED,878.0,878.0,878.0000000005665,878,CONFIRMED,3000,0,113.0,
ED_n070_033_a75_099,ED,2350.0,2350.0,2350.0000000635146,2350,CONFIRMED,3000,0,104.1,
ED_n070_034_a25_100,ED,1445.0,1445.0,1445.0000000008324,1445,CONFIRMED,3000,0,70.2,
EB_n140_022_a75_066,EB,5175.0,5175.0,5175.000000000412,5175,CONFIRMED,3000,0,414.5,
ED_n080_041_a50_122,ED,2227.0,2232.0,2232.155465737365,2232,UNCONFIRMED,3000,0,572.4,
D_n080_041_a50_122,D,2229.0,2235.0,2234.1697825832703,2234,UNCONFIRMED,3000,0,564.9,
