instance_id,family,n,budget_level,seed_set,best_primal_profit,lagrangian_upper_bound_raw,lagrangian_upper_bound_reported,certificate_gap_percent,stop_reason,runtime_seconds,proven_optimal_by_lagrangian_match,matches_bpc_optimum,improves_published_bks,published_bks
C_n065_017_a50_050,C,65,0.5,42;123;456;789;1337;2024,1930.0,1930.0,1930.0,0.0,GAP<0.3%,301.6,True,False,False,1930.0
C_n065_017_a75_051,C,65,0.75,42;123;456;789;1337;2024,1971.0,1971.0,1971.0,0.0,UB,0.7,True,True,False,1971.0
C_n065_018_a25_052,C,65,0.25,42;123;456;789;1337;2024,1386.0,1386.0,1386.0,0.0,UB,0.1,True,True,False,1386.0
C_n065_018_a50_053,C,65,0.5,42;123;456;789;1337;2024,1905.0,1908.0,1908.0,0.1575,GAP<0.3%,601.8,False,False,False,1905.0
C_n065_018_a75_054,C,65,0.75,42;123;456;789;1337;2024,2146.0,2146.0,2146.0,0.0,UB,2.2,True,True,False,2146.0
C_n065_019_a25_055,C,65,0.25,42;123;456;789;1337;2024,1864.0,1864.0,1864.0,0.0,GAP<0.3%,600.3,True,True,False,1864.0
C_n065_019_a50_056,C,65,0.5,42;123;456;789;1337;2024,2464.0,2465.0,2465.0,0.0406,GAP<0.3%,301.0,False,False,False,2464.0
C_n065_019_a75_057,C,65,0.75,42;123;456;789;1337;2024,2600.0,2600.0,2600.0,0.0,UB,0.8,True,True,False,2600.0
C_n065_020_a25_058,C,65,0.25,42;123;456;789;1337;2024,1566.0,1568.0,1568.0,0.1277,GAP<0.3%,300.4,False,True,False,1566.0
C_n065_020_a50_059,C,65,0.5,42;123;456;789;1337;2024,2323.0,2325.0,2325.0,0.0861,GAP<0.3%,600.9,False,False,False,2323.0
C_n065_020_a75_060,C,65,0.75,42;123;456;789;1337;2024,2489.0,2489.0,2489.0,0.0,UB,1.5,True,True,False,2489.0
C_n070_021_a25_061,C,70,0.25,42;123;456;789;1337;2024,1314.0,1317.0,1317.0,0.2283,GAP<0.3%,600.6,False,True,False,1314.0
C_n070_021_a50_062,C,70,0.5,42;123;456;789;1337;2024,1964.0,1965.0,1965.0,0.0509,GAP<0.3%,301.7,False,False,False,1964.0
C_n070_021_a75_063,C,70,0.75,42;123;456;789;1337;2024,2035.0,2035.0,2035.0,0.0,UB,1.6,True,True,False,2035.0
C_n070_022_a25_064,C,70,0.25,42;123;456;789;1337;2024,1413.0,1415.0,1415.0,0.1415,GAP<0.3%,900.8,False,True,False,1413.0
C_n070_022_a50_065,C,70,0.5,42;123;456;789;1337;2024,2052.0,2060.0,2060.0,0.3899,TIERS_EXHAUSTED,903.8,False,False,False,
C_n070_022_a75_066,C,70,0.75,42;123;456;789;1337;2024,2102.0,2102.0,2102.0,0.0,UB,0.9,True,True,False,2102.0
C_n070_023_a25_067,C,70,0.25,42;123;456;789;1337;2024,1628.0,1633.0,1633.0,0.3071,TIERS_EXHAUSTED,901.6,False,True,False,1628.0
C_n070_023_a50_068,C,70,0.5,42;123;456;789;1337;2024,2305.0,2305.0,2305.0,0.0,GAP<0.3%,303.3,True,False,False,2305.0
C_n070_023_a75_069,C,70,0.75,42;123;456;789;1337;2024,2359.0,2359.0,2359.0,0.0,UB,2.6,True,True,False,2359.0
C_n070_024_a25_070,C,70,0.25,42;123;456;789;1337;2024,2046.0,2046.0,2046.0,0.0,GAP<0.3%,600.7,True,True,False,2046.0
C_n070_024_a50_071,C,70,0.5,42;123;456;789;1337;2024,2863.0,2863.0,2863.0,0.0,GAP<0.3%,301.7,True,False,False,2863.0
C_n070_024_a75_072,C,70,0.75,42;123;456;789;1337;2024,3009.0,3009.0,3009.0,0.0,UB,1.3,True,True,False,3009.0
C_n070_025_a25_073,C,70,0.25,42;123;456;789;1337;2024,1680.0,1681.0,1681.0,0.0595,GAP<0.3%,601.4,False,True,False,1680.0
C_n070_025_a50_074,C,70,0.5,42;123;456;789;1337;2024,2449.0,2451.0,2451.0,0.0817,GAP<0.3%,602.1,False,False,False,2449.0
C_n070_025_a75_075,C,70,0.75,42;123;456;789;1337;2024,2601.0,2601.0,2601.0,0.0,UB,2.2,True,True,False,2601.0
C_n075_026_a25_076,C,75,0.25,42;123;456;789;1337;2024,1316.0,1317.0,1317.0,0.076,GAP<0.3%,900.8,False,False,False,
C_n075_026_a50_077,C,75,0.5,42;123;456;789;1337;2024,1977.0,1978.0,1978.0,0.0506,GAP<0.3%,301.8,False,False,False,
C_n075_026_a75_078,C,75,0.75,42;123;456;789;1337;2024,2055.0,2055.0,2055.0,0.0,GAP<0.3%,303.4,True,False,False,
C_n075_027_a25_079,C,75,0.25,42;123;456;789;1337;2024,1618.0,1618.0,1618.0,0.0,UB,0.3,True,False,False,
C_n075_027_a50_080,C,75,0.5,42;123;456;789;1337;2024,2184.0,2185.0,2185.0,0.0458,GAP<0.3%,304.0,False,False,False,
