instance,family,n,alpha,group_id,bks,bpc_oa_gap_pct,bpc_n_solved,bpc_group_count,bpc_class,bpc_class_label,bpc_note,master_obj,master_cert_gap_pct,master_rt_s,master_status,alns_obj,alns_runtime_s,best_ub,final_cert_gap_pct,alns_lag_proven_optimal,beta_stop_reason,beta_phases,beta_ec_gain,beta_vs_bks,beta_status,beta_vs_master,baseline_ub,baseline_cert_gap_pct,refine_s,refined_source,selfseed_ub,selfseed_gap_pct,selfseed_refine_s
B_n120_011_a50_032,B,120,0.5,011,3899,0.0,5,5,1,optimal,,3898,1.268965,917.0,GAP,3899.0,964.6,3899,0.0000,1,GAP<0.3%,2,0,0.0,TIE,1.0,3909,0.2558,361.5,refined,3899,0.0000,
B_n120_011_a75_033,B,120,0.75,011,4074,0.0,5,5,1,optimal,,4074,0.009817,740.0,TIE,4074.0,0.7,4074,0.0000,True,UB,1,0,0.0,TIE,0.0,4074,0.0000,,baseline,4074,0.0000,
B_n120_012_a25_034,B,120,0.25,012,2871,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2871,0.485269,633.0,TIE,2871.0,997.5,2881,0.3471,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,2883,0.4162,93.9,refined,2881,0.3471,
B_n120_012_a50_035,B,120,0.5,012,4182,0.0,5,5,1,optimal,,4182,0.011955,1455.0,TIE,4182.0,1.1,4182,0.0000,True,UB,1,0,0.0,TIE,0.0,4182,0.0000,,baseline,4182,0.0000,
B_n120_012_a75_036,B,120,0.75,012,4222,0.0,5,5,1,optimal,,4222,0.0,915.0,TIE,4222.0,0.2,4222,0.0000,True,UB,1,0,0.0,TIE,0.0,4222,0.0000,,baseline,4222,0.0,
B_n120_013_a25_037,B,120,0.25,013,2942,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2942,1.598769,665.0,TIE,2942.0,674.2,2945,0.1019,0,GAP<0.3%,2,0,0.0,TIE,0.0,2949,0.2374,72.7,refined,2945,0.1019,
B_n120_013_a50_038,B,120,0.5,013,4064,0.0,5,5,1,optimal,,4063,0.066409,927.0,GAP,4064.0,301.0,4064,0.0000,True,GAP<0.3%,1,0,0.0,TIE,1.0,4064,0.0000,,baseline,4064,0.0000,
B_n120_013_a75_039,B,120,0.75,013,4147,0.0,5,5,1,optimal,,4147,0.012055,611.0,TIE,4147.0,0.6,4147,0.0000,True,UB,1,0,0.0,TIE,0.0,4147,0.0000,,baseline,4147,0.0000,
B_n120_014_a25_040,B,120,0.25,014,3242,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),3242,1.581616,586.0,TIE,3242.0,967.5,3287,1.3690,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,3294,1.5786,65.3,refined,3287,1.3690,
B_n120_014_a50_041,B,120,0.5,014,4855,0.0,5,5,1,optimal,,4845,0.218305,1005.0,GAP,4855.0,1.4,4855,0.0000,True,UB,1,0,0.0,TIE,10.0,4855,0.0000,,baseline,4855,0.0000,
B_n120_014_a75_042,B,120,0.75,014,5038,0.0,5,5,1,optimal,,5038,0.0,610.0,TIE,5038.0,0.7,5038,0.0000,True,UB,1,0,0.0,TIE,0.0,5038,0.0000,,baseline,5038,0.0,
B_n120_015_a25_043,B,120,0.25,015,2579,0.07,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2579,0.178046,591.0,TIE,2579.0,655.4,2579,0.0000,1,GAP<0.3%,2,0,0.0,TIE,0.0,2583,0.1549,54.1,refined,2579,0.0000,
B_n120_015_a50_044,B,120,0.5,015,4004,0.0,5,5,1,optimal,,4004,0.0,880.0,TIE,4004.0,0.9,4004,0.0000,True,UB,1,0,0.0,TIE,0.0,4004,0.0000,,baseline,4004,0.0,49.0
B_n120_015_a75_045,B,120,0.75,015,4282,0.0,5,5,1,optimal,,4282,0.00467,614.0,TIE,4282.0,1.3,4282,0.0000,True,UB,1,0,0.0,TIE,0.0,4282,0.0000,,baseline,4282,0.0000,
B_n130_016_a25_046,B,130,0.25,016,2744,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2744,1.8598,311.0,TIE,2744.0,1341.3,2789,1.6135,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,2799,1.9650,437.7,refined,2789,1.6135,
B_n130_016_a50_047,B,130,0.5,016,4157,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4156,1.200523,1708.0,GAP,4156.0,991.7,4157,0.0241,0,GAP<0.3%,2,0,-1.0,GAP,0.0,4163,0.1681,385.6,refined,4157,0.0241,
B_n130_016_a75_048,B,130,0.75,016,4216,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4333,0.195785,2327.0,BEAT,4333.0,724.7,4334,0.0231,0,GAP<0.3%,1,0,117.0,BEAT,0.0,4334,0.0231,419.9,refined,4334,0.0231,
B_n130_017_a25_049,B,130,0.25,017,3062,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),3061,0.409943,462.0,GAP,3062.0,1046.0,3072,0.3255,0,TIERS_EXHAUSTED,3,0,0.0,TIE,1.0,3073,0.3580,141.4,refined,3072,0.3255,
B_n130_017_a50_050,B,130,0.5,017,4594,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4593,0.336335,2085.0,GAP,4594.0,516.5,4595,0.0218,0,GAP<0.3%,1,0,0.0,TIE,1.0,4595,0.0218,212.7,refined,4595,0.0218,
B_n130_017_a75_051,B,130,0.75,017,4635,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4646,0.0,3384.0,BEAT,4646.0,0.2,4646,0.0000,True,UB,1,0,11.0,BEAT,0.0,4646,0.0000,,baseline,4646,0.0,
B_n130_018_a25_052,B,130,0.25,018,3192,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),3192,1.414541,477.0,TIE,3192.0,688.0,3196,0.1252,0,GAP<0.3%,2,0,0.0,TIE,0.0,3197,0.1564,85.9,refined,3196,0.1252,
B_n130_018_a50_053,B,130,0.5,018,4497,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4497,0.36557,3322.0,TIE,4497.0,305.9,4497,0.0000,True,GAP<0.3%,1,0,0.0,TIE,0.0,4497,0.0000,,baseline,4497,0.0000,
B_n130_018_a75_054,B,130,0.75,018,4578,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4577,0.152705,2986.0,GAP,4578.0,303.9,4578,0.0000,True,GAP<0.3%,1,0,0.0,TIE,1.0,4578,0.0000,,baseline,4578,0.0000,
B_n130_019_a25_055,B,130,0.25,019,3359,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),3359,1.521593,401.0,TIE,3359.0,969.6,3404,1.3220,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,3410,1.4956,67.8,refined,3404,1.3220,
B_n130_019_a50_056,B,130,0.5,019,5093,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),5083,0.742043,2670.0,GAP,5093.0,302.9,5093,0.0000,True,GAP<0.3%,1,0,0.0,TIE,10.0,5093,0.0000,,baseline,5093,0.0000,
B_n130_019_a75_057,B,130,0.75,019,5307,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),5307,0.037672,1609.0,TIE,5307.0,301.7,5307,0.0000,True,GAP<0.3%,1,0,0.0,TIE,0.0,5307,0.0000,,baseline,5307,0.0000,
B_n130_020_a25_058,B,130,0.25,020,2680,0.01,4,5,2,incumbent,WARNING: bpc_n_solved=4 < group_count=5; 1 instance(s) may be Class 3 (no_incumbent),2680,0.382857,827.0,TIE,2680.0,965.5,2680,0.0000,1,GAP<0.3%,3,0,0.0,TIE,0.0,2684,0.1490,63.5,refined,2680,0.0000,
B_n130_020_a50_059,B,130,0.5,020,4294,0.06,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4306,0.485325,1880.0,BEAT,4306.0,302.2,4306,0.0000,True,GAP<0.3%,1,0,12.0,BEAT,0.0,4306,0.0000,,baseline,4306,0.0000,
B_n130_020_a75_060,B,130,0.75,020,4597,0.61,3,5,2,incumbent,WARNING: bpc_n_solved=3 < group_count=5; 2 instance(s) may be Class 3 (no_incumbent),4596,0.19544,1994.0,GAP,4596.0,369.6,4597,0.0218,0,GAP<0.3%,1,0,-1.0,GAP,0.0,4597,0.0218,66.8,refined,4597,0.0218,
B_n140_021_a25_061,B,140,0.25,021,3142,NA,NA,5,4,not_reported,outside paper coverage,3142,1.649607,1258.0,TIE,3142.0,1434.8,3187,1.4120,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,3195,1.6588,527.3,refined,3187,1.4120,
B_n140_021_a50_062,B,140,0.5,021,4655,NA,NA,5,4,not_reported,outside paper coverage,4654,1.157481,1756.0,GAP,4654.0,1024.6,4655,0.0215,0,GAP<0.3%,2,0,-1.0,GAP,0.0,4660,0.1288,418.0,refined,4655,0.0215,
B_n140_021_a75_063,B,140,0.75,021,4852,NA,NA,5,4,not_reported,outside paper coverage,4851,0.195453,2797.0,GAP,4850.0,770.6,4852,0.0412,0,GAP<0.3%,1,0,-2.0,GAP,-1.0,4853,0.0618,462.1,refined,4852,0.0412,
B_n140_022_a25_064,B,140,0.25,022,3392,NA,NA,5,4,not_reported,outside paper coverage,3391,0.132528,1224.0,GAP,3392.0,777.4,3392,0.0000,1,GAP<0.3%,2,0,0.0,TIE,1.0,3395,0.0884,172.6,refined,3392,0.0000,
B_n140_022_a50_065,B,140,0.5,022,5034,NA,NA,5,4,not_reported,outside paper coverage,5080,0.489716,3384.0,BEAT,5080.0,534.6,5081,0.0197,0,GAP<0.3%,1,0,46.0,BEAT,0.0,5081,0.0197,229.7,refined,5081,0.0197,
B_n140_022_a75_066,B,140,0.75,022,5178,NA,NA,5,4,not_reported,outside paper coverage,5177,0.019312,4525.0,GAP,5178.0,0.2,5178,0.0000,True,UB,1,0,0.0,TIE,1.0,5178,0.0000,,baseline,5178,0.0,
B_n140_023_a25_067,B,140,0.25,023,3781,NA,NA,5,4,not_reported,outside paper coverage,3781,0.630749,2103.0,TIE,3781.0,1224.6,3784,0.0793,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,3798,0.4476,319.5,refined,3784,0.0793,
B_n140_023_a50_068,B,140,0.5,023,4815,NA,NA,5,4,not_reported,outside paper coverage,4942,0.961924,4456.0,BEAT,4942.0,851.2,4943,0.0202,0,GAP<0.3%,2,0,127.0,BEAT,0.0,4949,0.1414,243.0,refined,4943,0.0202,
B_n140_023_a75_069,B,140,0.75,023,5095,NA,NA,5,4,not_reported,outside paper coverage,5094,0.156801,3284.0,GAP,5095.0,303.0,5095,0.0000,True,GAP<0.3%,1,0,0.0,TIE,1.0,5095,0.0000,,baseline,5095,0.0000,
B_n140_024_a25_070,B,140,0.25,024,4264,NA,NA,5,4,not_reported,outside paper coverage,4264,1.186504,2528.0,TIE,4264.0,1024.8,4309,1.0443,0,TIERS_EXHAUSTED,3,0,0.0,TIE,0.0,4315,1.1819,120.1,refined,4309,1.0443,
B_n140_024_a50_071,B,140,0.5,024,5578,NA,NA,5,4,not_reported,outside paper coverage,5578,0.614699,2057.0,TIE,5577.0,427.9,5578,0.0179,0,GAP<0.3%,1,0,-1.0,GAP,-1.0,5578,0.0179,123.9,refined,5578,0.0179,
B_n140_024_a75_072,B,140,0.75,024,5663,NA,NA,5,4,not_reported,outside paper coverage,5663,0.0,2417.0,TIE,5663.0,0.6,5663,0.0000,True,UB,1,0,0.0,TIE,0.0,5663,0.0000,,baseline,5663,0.0,
B_n140_025_a25_073,B,140,0.25,025,3331,NA,NA,5,4,not_reported,outside paper coverage,3262,2.431729,1284.0,GAP,3331.0,691.0,3331,0.0000,1,GAP<0.3%,2,0,0.0,TIE,69.0,3335,0.1199,89.5,refined,3331,0.0000,
B_n140_025_a50_074,B,140,0.5,025,4639,NA,NA,5,4,not_reported,outside paper coverage,4639,0.823089,2001.0,TIE,4639.0,1028.7,4639,0.0000,1,GAP<0.3%,3,0,0.0,TIE,0.0,4642,0.0646,123.7,refined,4639,0.0000,
