instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n150_026_a25_076,EB,150,0.25,2,2,2550.0,2569,0.7395873880887505,2,300.0293143000017,601.7285491000002,STALL→tier1→2 d_max=16
EB_n150_026_a25_076,EB,150,0.25,3,3,2550.0,2569,0.7395873880887505,2,300.1219506000016,901.8505337000024,TIERS_EXHAUSTED
ED_n075_037_a25_109,ED,75,0.25,1,1,1273.0,1285,0.933852140077821,2,300.31717299999946,300.31719809999777,STALL→tier0→1 d_max=5
ED_n075_037_a25_109,ED,75,0.25,2,2,1273.0,1285,0.933852140077821,2,300.2030061000005,600.5202605999984,STALL→tier1→2 d_max=7
ED_n075_037_a25_109,ED,75,0.25,3,3,1273.0,1285,0.933852140077821,2,300.72118240000054,901.241482999998,TIERS_EXHAUSTED
ED_n060_022_a50_065,ED,60,0.5,1,1,1737.0,1768,1.753393665158371,1,301.4159096999974,301.4159577999999,STALL→tier0→1 d_max=9
ED_n060_022_a50_065,ED,60,0.5,2,2,1737.0,1768,1.753393665158371,1,300.3884218000021,601.8044229000006,STALL→tier1→2 d_max=12
ED_n060_022_a50_065,ED,60,0.5,3,3,1737.0,1768,1.753393665158371,1,300.3475084999991,902.1519895999991,TIERS_EXHAUSTED
EC_n080_033_a25_097,EC,80,0.25,1,1,1806.0,1813,0.3861003861003861,2,300.21046019999994,300.21048510000037,STALL→tier0→1 d_max=8
EC_n080_033_a25_097,EC,80,0.25,2,2,1806.0,1813,0.3861003861003861,2,300.1078645999987,600.3183869999993,STALL→tier1→2 d_max=11
EC_n080_033_a25_097,EC,80,0.25,3,3,1806.0,1813,0.3861003861003861,2,301.97192780000114,902.2903659000003,TIERS_EXHAUSTED
ED_n050_014_a50_041,ED,50,0.5,1,1,1787.0,1807,1.1068068622025455,1,300.29280690000087,300.29285320000054,STALL→tier0→1 d_max=8
ED_n050_014_a50_041,ED,50,0.5,2,2,1787.0,1807,1.1068068622025455,1,300.06657370000175,600.3594575999996,STALL→tier1→2 d_max=10
ED_n050_014_a50_041,ED,50,0.5,3,3,1787.0,1807,1.1068068622025455,1,302.253786199999,902.6132768999996,TIERS_EXHAUSTED
EB_n130_017_a50_050,EB,130,0.5,1,1,4421.0,4481,1.3389868332961392,1,301.590756900001,301.5907894000011,STALL→tier0→1 d_max=25
EB_n130_017_a50_050,EB,130,0.5,2,2,4421.0,4481,1.3389868332961392,1,301.59426000000167,603.1850890000023,STALL→tier1→2 d_max=33
EB_n130_017_a50_050,EB,130,0.5,3,3,4421.0,4481,1.3389868332961392,1,302.0876583999998,905.2727871999996,TIERS_EXHAUSTED
ED_n065_027_a75_081,ED,65,0.75,1,1,1972.0,1986,0.7049345417925479,1,301.2120794000002,301.21280520000073,STALL→tier0→1 d_max=13
ED_n065_027_a75_081,ED,65,0.75,2,2,1972.0,1986,0.7049345417925479,1,302.4963506999993,603.709204499999,STALL→tier1→2 d_max=18
ED_n065_027_a75_081,ED,65,0.75,3,3,1972.0,1986,0.7049345417925479,1,311.28690429999915,914.9961585000019,TIERS_EXHAUSTED
C_n070_022_a50_065,C,70,0.5,1,1,2052.0,2077,1.203659123736158,1,300.04724270000224,300.04728749999776,STALL→tier0→1 d_max=13
C_n070_022_a50_065,C,70,0.5,2,2,2052.0,2077,1.203659123736158,1,304.68975130000035,604.7370826999977,STALL→tier1→2 d_max=18
C_n070_022_a50_065,C,70,0.5,3,3,2052.0,2077,1.203659123736158,1,301.49199520000184,906.2291109999969,TIERS_EXHAUSTED
B_n120_012_a25_034,B,120,0.25,1,1,2871.0,2885,0.48526863084922006,2,300.08427909999955,300.0843042999986,STALL→tier0→1 d_max=15
B_n120_012_a25_034,B,120,0.25,2,2,2871.0,2885,0.48526863084922006,1,302.58181259999765,602.6661765999997,STALL→tier1→2 d_max=21
B_n120_012_a25_034,B,120,0.25,3,3,2871.0,2885,0.48526863084922006,1,300.1183904999998,902.7845990999995,TIERS_EXHAUSTED
