instance,family,mode,csv_obj,primal_obj,csv_obj_match,csv_ub,recomputed_ub,lagrangian_value,csv_gap_pct,recomputed_gap_pct,pass_primal,pass_bound,pass_ub_match,pass_gap,pass_all,note
C_n075_029_a25_085,C,rederive,2168.0,2168.0,match,2172.0,2179,2179.5975,0.1842,0.5048,True,True,,,True,
C_n075_029_a50_086,C,rederive,3004.0,3004.0,match,3013.0,3007,3007.5742,0.2987,0.0998,True,True,,,True,
C_n075_029_a75_087,C,rederive,3223.0,3223.0,match,3223.0,3222,3223.0,0.0,-0.031,True,True,,,True,
C_n075_030_a25_088,C,rederive,1777.0,1777.0,match,1777.0,1779,1779.4144,0.0,0.1124,True,True,,,True,
C_n075_030_a50_089,C,rederive,2568.0,2568.0,match,2572.0,2583,2583.5722,0.1555,0.5807,True,True,,,True,
C_n075_030_a75_090,C,rederive,2722.0,2722.0,match,2722.0,2722,2722.0114,0.0,0.0,True,True,,,True,
C_n080_031_a25_091,C,rederive,1515.0,1515.0,match,1516.0,1524,1524.8496,0.066,0.5906,True,True,,,True,
C_n080_031_a50_092,C,rederive,2287.0,2287.0,match,2288.0,2287,2287.3502,0.0437,0.0,True,True,,,True,
C_n080_031_a75_093,C,rederive,2365.0,2365.0,match,2365.0,2365,2365.0047,0.0,0.0,True,True,,,True,
C_n080_032_a25_094,C,rederive,1747.0,1747.0,match,1747.0,1752,1752.4995,0.0,0.2854,True,True,,,True,
C_n080_032_a50_095,C,rederive,2403.0,2403.0,match,2404.0,2404,2404.3267,0.0416,0.0416,True,True,,,True,
C_n080_032_a75_096,C,rederive,2461.0,2461.0,match,2461.0,2461,2461.0,0.0,0.0,True,True,,,True,
C_n080_033_a25_097,C,rederive,2029.0,2029.0,match,2035.0,2036,2036.8413,0.2948,0.3438,True,True,,,True,
C_n080_033_a50_098,C,rederive,2748.0,2748.0,match,2748.0,2748,2748.0443,0.0,0.0,True,True,,,True,
C_n080_033_a75_099,C,rederive,2803.0,2803.0,match,2803.0,2803,2803.0,0.0,0.0,True,True,,,True,
C_n080_034_a25_100,C,rederive,2268.0,2268.0,match,2272.0,2276,2276.7074,0.1761,0.3515,True,True,,,True,
C_n080_034_a50_101,C,rederive,3205.0,3205.0,match,3207.0,3210,3210.857,0.0624,0.1558,True,True,,,True,
C_n080_034_a75_102,C,rederive,3425.0,3425.0,match,3425.0,3425,3426.0,0.0,0.0,True,True,,,True,
C_n080_035_a25_103,C,rederive,1897.0,1897.0,match,1902.0,1900,1900.4883,0.2629,0.1579,True,True,,,True,
C_n080_035_a50_104,C,rederive,2778.0,2778.0,match,2782.0,2795,2795.5273,0.1438,0.6082,True,True,,,True,
C_n080_035_a75_105,C,rederive,2934.0,2934.0,match,2934.0,2934,2934.0103,0.0,0.0,True,True,,,True,
D_n040_001_a25_001,D,rederive,715.0,715.0,match,715.0,715,715.0,0.0,0.0,True,True,,,True,
D_n040_001_a50_002,D,rederive,970.0,970.0,match,970.0,970,970.0856,0.0,0.0,True,True,,,True,
D_n040_001_a75_003,D,rederive,1203.0,1203.0,match,1203.0,1202,1203.0,0.0,-0.0832,True,True,,,True,
D_n040_002_a25_004,D,rederive,352.0,352.0,match,352.0,352,352.0,0.0,0.0,True,True,,,True,
D_n040_002_a50_005,D,rederive,894.0,894.0,match,894.0,894,894.1617,0.0,0.0,True,True,,,True,
D_n040_002_a75_006,D,rederive,1137.0,1137.0,match,1137.0,1137,1137.0,0.0,0.0,True,True,,,True,
D_n040_003_a25_007,D,rederive,563.0,563.0,match,563.0,563,563.6669,0.0,0.0,True,True,,,True,
D_n040_003_a50_008,D,rederive,1023.0,1023.0,match,1023.0,1023,1023.0,0.0,0.0,True,True,,,True,
D_n040_003_a75_009,D,rederive,1149.0,1149.0,match,1149.0,1149,1149.0,0.0,0.0,True,True,,,True,
D_n040_004_a25_010,D,rederive,723.0,723.0,match,723.0,723,723.0537,0.0,0.0,True,True,,,True,
D_n040_004_a50_011,D,rederive,1374.0,1374.0,match,1374.0,1374,1374.0174,0.0,0.0,True,True,,,True,
D_n040_004_a75_012,D,rederive,1537.0,1537.0,match,1537.0,1536,1537.0,0.0,-0.0651,True,True,,,True,
D_n040_005_a25_013,D,rederive,837.0,837.0,match,837.0,837,837.0155,0.0,0.0,True,True,,,True,
D_n040_005_a50_014,D,rederive,1351.0,1351.0,match,1353.0,1361,1361.8504,0.1478,0.7348,True,True,,,True,
D_n040_005_a75_015,D,rederive,1467.0,1467.0,match,1467.0,1467,1467.0,0.0,0.0,True,True,,,True,
D_n045_006_a25_016,D,rederive,745.0,745.0,match,745.0,745,745.0,0.0,0.0,True,True,,,True,
D_n045_006_a50_017,D,rederive,1208.0,1208.0,match,1208.0,1208,1208.0016,0.0,0.0,True,True,,,True,
D_n045_006_a75_018,D,rederive,1245.0,1245.0,match,1245.0,1245,1245.0,0.0,0.0,True,True,,,True,
D_n045_007_a25_019,D,rederive,662.0,662.0,match,663.0,662,662.9414,0.1508,0.0,True,True,,,True,
D_n045_007_a50_020,D,rederive,1105.0,1105.0,match,1105.0,1123,1123.1969,0.0,1.6028,True,True,,,True,
D_n045_007_a75_021,D,rederive,1369.0,1369.0,match,1369.0,1369,1369.0,0.0,0.0,True,True,,,True,
D_n045_008_a25_022,D,rederive,953.0,953.0,match,953.0,953,953.0604,0.0,0.0,True,True,,,True,
D_n045_008_a50_023,D,rederive,1337.0,1337.0,match,1338.0,1341,1341.0437,0.0747,0.2983,True,True,,,True,
D_n045_008_a75_024,D,rederive,1483.0,1483.0,match,1483.0,1483,1483.0,0.0,0.0,True,True,,,True,
D_n045_009_a25_025,D,rederive,936.0,936.0,match,938.0,939,939.9722,0.2132,0.3195,True,True,,,True,
D_n045_009_a50_026,D,rederive,1528.0,1528.0,match,1528.0,1529,1529.1088,0.0,0.0654,True,True,,,True,
D_n045_009_a75_027,D,rederive,1651.0,1651.0,match,1651.0,1651,1651.0,0.0,0.0,True,True,,,True,
