instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
ED_n070_035_a25_103,ED,70,0.25,2,2,1479.0,1498,1.268357810413885,1,300.33536390000154,624.7941073999991,STALL→tier1→2 d_max=10
ED_n070_035_a25_103,ED,70,0.25,3,3,1479.0,1489,0.6715916722632639,1,300.9032812000005,949.3478747999998,TIERS_EXHAUSTED
B_n140_023_a25_067,B,140,0.25,1,1,3781.0,3821,1.0468463752944255,1,301.9996969999993,301.99974400000065,STALL→tier0→1 d_max=16
B_n140_023_a25_067,B,140,0.25,2,2,3781.0,3804,0.6046267087276551,1,305.1226048999997,655.7843522000003,STALL→tier1→2 d_max=21
B_n140_023_a25_067,B,140,0.25,3,3,3781.0,3798,0.44760400210637175,1,304.7826570999987,1008.2802883999993,TIERS_EXHAUSTED
ED_n060_025_a50_074,ED,60,0.5,1,1,2014.0,2057,2.0904229460379193,1,300.08375420000084,300.0837809000004,STALL→tier0→1 d_max=10
ED_n060_025_a50_074,ED,60,0.5,2,2,2014.0,2042,1.3712047012732616,1,309.5244867000001,618.3066292000003,STALL→tier1→2 d_max=14
ED_n060_025_a50_074,ED,60,0.5,3,3,2014.0,2034,0.983284169124877,1,312.5252238000012,940.3311910000011,TIERS_EXHAUSTED
ED_n070_032_a75_096,ED,70,0.75,1,1,2083.0,2097,0.6676204101096805,1,300.3533186000004,300.3533649000001,STALL→tier0→1 d_max=14
ED_n070_032_a75_096,ED,70,0.75,2,2,2083.0,2096,0.6202290076335878,1,317.6647073000004,637.1120487000007,STALL→tier1→2 d_max=19
ED_n070_032_a75_096,ED,70,0.75,3,3,2083.0,2096,0.6202290076335878,1,302.37935520000065,957.7721440000005,TIERS_EXHAUSTED
EC_n080_035_a50_104,EC,80,0.5,1,1,2667.0,2695,1.0389610389610389,1,305.9632163999995,305.96413740000025,STALL→tier0→1 d_max=14
EC_n080_035_a50_104,EC,80,0.5,2,2,2667.0,2680,0.4850746268656716,1,300.0840700000008,613.9144964000006,STALL→tier1→2 d_max=19
EC_n080_035_a50_104,EC,80,0.5,3,3,2667.0,2678,0.4107542942494399,1,300.6008469999997,923.5617168000008,TIERS_EXHAUSTED
D_n070_032_a75_096,D,70,0.75,1,1,2098.0,2106,0.3798670465337132,1,303.2378503,303.2378914000001,STALL→tier0→1 d_max=16
D_n070_032_a75_096,D,70,0.75,2,2,2098.0,2106,0.3798670465337132,1,313.47544890000063,637.2030013999993,STALL→tier1→2 d_max=21
D_n070_032_a75_096,D,70,0.75,3,3,2098.0,2106,0.3798670465337132,1,302.0885376999995,957.8077933999994,TIERS_EXHAUSTED
D_n080_042_a25_124,D,80,0.25,1,1,1537.0,1593,3.515379786566227,1,300.77027420000013,300.77032099999997,STALL→tier0→1 d_max=8
D_n080_042_a25_124,D,80,0.25,2,2,1537.0,1560,1.4743589743589742,1,303.0662907999995,663.9114209999989,STALL→tier1→2 d_max=11
D_n080_042_a25_124,D,80,0.25,3,3,1537.0,1551,0.9026434558349452,1,300.8795600000012,1024.961647099999,TIERS_EXHAUSTED
B_n150_026_a25_076,B,150,0.25,1,1,3246.0,3363,3.479036574487065,1,303.30545249999886,303.3054991000008,STALL→tier0→1 d_max=15
B_n150_026_a25_076,B,150,0.25,2,2,3246.0,3331,2.5517862503752626,1,300.0889017999998,663.7817916000004,STALL→tier1→2 d_max=20
B_n150_026_a25_076,B,150,0.25,3,3,3246.0,3314,2.051901025950513,1,306.31085970000095,1030.1845666000008,TIERS_EXHAUSTED
D_n075_040_a25_118,D,75,0.25,1,1,1820.0,1861,2.203116603976357,1,304.78783529999964,304.78787340000054,STALL→tier0→1 d_max=9
D_n075_040_a25_118,D,75,0.25,2,2,1820.0,1835,0.8174386920980926,1,301.0728074999988,662.5106491000006,STALL→tier1→2 d_max=12
D_n075_040_a25_118,D,75,0.25,3,3,1820.0,1828,0.437636761487965,1,301.4924809999993,1018.4577867999997,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,1,1910.0,1959,2.501276161306789,1,300.7283772999999,300.7283985000013,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,2,2,1910.0,1933,1.189860320744956,1,307.3760459999994,668.3913956000015,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,3,3,1910.0,1924,0.7276507276507277,1,300.8537554000013,1023.8115569000001,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,1,1681.0,1710,1.6959064327485378,1,300.83716450000065,300.83719029999884,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,2,2,1681.0,1692,0.6501182033096926,1,300.5191027000001,654.9364439000001,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,3,3,1681.0,1687,0.35566093657379966,1,303.4387296999994,1014.3928078999998,TIERS_EXHAUSTED
D_n070_032_a25_094,D,70,0.25,1,1,1196.0,1239,3.470540758676352,1,301.6900440999998,301.69007610000153,STALL→tier0→1 d_max=6
D_n070_032_a25_094,D,70,0.25,2,2,1196.0,1212,1.3201320132013201,1,300.1433784000001,621.8859464000016,STALL→tier1→2 d_max=8
D_n070_032_a25_094,D,70,0.25,3,3,1196.0,1202,0.49916805324459235,1,300.9834912999995,941.6233591,TIERS_EXHAUSTED
D_n065_030_a50_089,D,65,0.5,1,1,2337.0,2387,2.094679514034353,1,302.2648575000003,302.2648795999994,STALL→tier0→1 d_max=12
D_n065_030_a50_089,D,65,0.5,2,2,2337.0,2366,1.2256973795435333,1,309.2700335999998,633.8048921999998,STALL→tier1→2 d_max=17
D_n065_030_a50_089,D,65,0.5,3,3,2337.0,2350,0.5531914893617021,1,300.20930469999803,952.2394384000017,TIERS_EXHAUSTED
ED_n055_019_a50_056,ED,55,0.5,1,1,1897.0,1908,0.5765199161425576,1,304.32026659999974,304.32029220000004,STALL→tier0→1 d_max=8
ED_n055_019_a50_056,ED,55,0.5,2,2,1897.0,1907,0.5243838489774515,1,305.0892180999981,612.3065422,STALL→tier1→2 d_max=11
ED_n055_019_a50_056,ED,55,0.5,3,3,1897.0,1907,0.5243838489774515,1,300.6448780999999,916.1323841999983,TIERS_EXHAUSTED
D_n070_032_a50_095,D,70,0.5,1,1,1908.0,1940,1.6494845360824744,1,300.7290496000005,300.7290866000003,STALL→tier0→1 d_max=11
D_n070_032_a50_095,D,70,0.5,2,2,1908.0,1920,0.625,1,301.08215480000035,616.8440513000005,STALL→tier1→2 d_max=15
D_n070_032_a50_095,D,70,0.5,3,3,1908.0,1919,0.5732152162584679,1,302.225835199999,935.8198744999991,TIERS_EXHAUSTED
ED_n075_040_a25_118,ED,75,0.25,1,1,1588.0,1620,1.9753086419753085,1,300.1089413999998,300.1089799000001,STALL→tier0→1 d_max=7
ED_n075_040_a25_118,ED,75,0.25,2,2,1588.0,1600,0.75,1,305.65285349999976,642.1918241000021,STALL→tier1→2 d_max=10
ED_n075_040_a25_118,ED,75,0.25,3,3,1588.0,1595,0.438871473354232,1,301.1158527000007,994.7217560999998,TIERS_EXHAUSTED
B_n140_021_a25_061,B,140,0.25,1,1,3142.0,3235,2.874806800618238,1,303.71626819999983,303.7162920999999,STALL→tier0→1 d_max=13
B_n140_021_a25_061,B,140,0.25,2,2,3142.0,3198,1.7510944340212633,1,300.00233559999833,663.8538509999998,STALL→tier1→2 d_max=18
B_n140_021_a25_061,B,140,0.25,3,3,3142.0,3197,1.7203628401626525,1,303.7174152999978,1027.7788729999993,TIERS_EXHAUSTED
D_n075_036_a25_106,D,75,0.25,1,1,1378.0,1421,3.0260380014074597,1,303.6860837999993,303.6861086000026,STALL→tier0→1 d_max=7
D_n075_036_a25_106,D,75,0.25,2,2,1378.0,1393,1.0768126346015794,1,301.41907770000034,631.150999700003,STALL→tier1→2 d_max=9
D_n075_036_a25_106,D,75,0.25,3,3,1378.0,1383,0.3615328994938539,1,303.09357340000133,959.963281100001,TIERS_EXHAUSTED
ED_n065_030_a25_088,ED,65,0.25,1,1,1478.0,1506,1.859229747675963,1,304.9634518000021,304.9634790000018,STALL→tier0→1 d_max=7
ED_n065_030_a25_088,ED,65,0.25,2,2,1478.0,1493,1.0046885465505693,1,301.98737840000103,629.9519862000016,STALL→tier1→2 d_max=9
ED_n065_030_a25_088,ED,65,0.25,3,3,1478.0,1488,0.6720430107526881,1,300.22708010000133,948.6607633000021,TIERS_EXHAUSTED
EB_n140_022_a25_064,EB,140,0.25,1,1,2767.0,2811,1.5652792600498042,1,299.3295174999985,299.32954640000025,STALL→tier0→1 d_max=12
EB_n140_022_a25_064,EB,140,0.25,2,2,2767.0,2799,1.143265451947124,2,300.1371579000006,659.8655126999984,STALL→tier1→2 d_max=16
EB_n140_022_a25_064,EB,140,0.25,3,3,2767.0,2787,0.7176175098672408,2,300.2992391000007,1020.4662578999996,TIERS_EXHAUSTED
ED_n070_032_a50_095,ED,70,0.5,1,1,1867.0,1885,0.9549071618037135,1,300.15744659999837,300.15749610000057,STALL→tier0→1 d_max=10
ED_n070_032_a50_095,ED,70,0.5,2,2,1867.0,1878,0.5857294994675186,1,302.7789649000006,617.5970737999996,STALL→tier1→2 d_max=13
ED_n070_032_a50_095,ED,70,0.5,3,3,1867.0,1877,0.5327650506126799,1,302.64140430000043,933.7517796000029,TIERS_EXHAUSTED
EB_n150_027_a25_079,EB,150,0.25,1,1,2771.0,2820,1.7375886524822697,1,300.064609699999,300.06465820000085,STALL→tier0→1 d_max=13
EB_n150_027_a25_079,EB,150,0.25,2,2,2771.0,2805,1.2121212121212122,1,301.11139769999863,661.518218600002,STALL→tier1→2 d_max=17
EB_n150_027_a25_079,EB,150,0.25,3,3,2771.0,2795,0.8586762075134168,1,300.7216554000006,1022.2580812000015,TIERS_EXHAUSTED
ED_n080_042_a25_124,ED,80,0.25,1,1,1305.0,1363,4.25531914893617,1,300.091902199998,300.0919286000026,STALL→tier0→1 d_max=6
ED_n080_042_a25_124,ED,80,0.25,2,2,1305.0,1327,1.6578749058025624,1,305.0713886000012,665.5542129000023,STALL→tier1→2 d_max=9
ED_n080_042_a25_124,ED,80,0.25,3,3,1305.0,1313,0.6092916984006093,1,300.1620331000013,1025.9009700000024,TIERS_EXHAUSTED
D_n060_022_a50_065,D,60,0.5,1,1,1777.0,1813,1.9856591285162712,1,300.86385879999943,300.86391509999885,STALL→tier0→1 d_max=10
D_n060_022_a50_065,D,60,0.5,2,2,1777.0,1792,0.8370535714285714,1,304.20211850000123,610.7685110999992,STALL→tier1→2 d_max=13
D_n060_022_a50_065,D,60,0.5,3,3,1777.0,1790,0.7262569832402235,1,300.7120556000009,917.2125573999983,TIERS_EXHAUSTED
EC_n065_017_a50_050,EC,65,0.5,1,1,1900.0,1909,0.47145102147721324,2,300.2328617999992,300.2328926000009,STALL→tier0→1 d_max=11
EC_n065_017_a50_050,EC,65,0.5,2,2,1900.0,1909,0.47145102147721324,1,301.6215536999989,605.1359030999993,STALL→tier1→2 d_max=15
EC_n065_017_a50_050,EC,65,0.5,3,3,1900.0,1909,0.47145102147721324,2,300.4872847000006,909.1822881000007,TIERS_EXHAUSTED
D_n070_035_a25_103,D,70,0.25,1,1,1701.0,1737,2.072538860103627,1,300.66542039999695,300.6654466,STALL→tier0→1 d_max=9
D_n070_035_a25_103,D,70,0.25,2,2,1701.0,1720,1.1046511627906976,1,300.59149519999846,624.3382892000009,STALL→tier1→2 d_max=12
D_n070_035_a25_103,D,70,0.25,3,3,1701.0,1708,0.4098360655737705,1,300.0362979999991,950.340793299998,TIERS_EXHAUSTED
ED_n065_027_a50_080,ED,65,0.5,1,1,1747.0,1770,1.2994350282485876,1,300.1746306999994,300.1746692000015,STALL→tier0→1 d_max=9
ED_n065_027_a50_080,ED,65,0.5,2,2,1747.0,1767,1.1318619128466327,1,309.5947410000008,615.7463543999984,STALL→tier1→2 d_max=12
ED_n065_027_a50_080,ED,65,0.5,3,3,1747.0,1766,1.0758776896942241,1,301.7567788999986,924.1466930999995,TIERS_EXHAUSTED
ED_n075_037_a25_109,ED,75,0.25,1,1,1273.0,1309,2.750190985485103,2,300.01800229999935,300.0180317999984,STALL→tier0→1 d_max=5
ED_n075_037_a25_109,ED,75,0.25,2,2,1273.0,1285,0.933852140077821,2,300.188214400001,631.0390736000008,STALL→tier1→2 d_max=7
ED_n075_037_a25_109,ED,75,0.25,3,3,1273.0,1282,0.702028081123245,2,300.19166269999914,962.1013248999989,TIERS_EXHAUSTED
EB_n150_026_a25_076,EB,150,0.25,1,1,2550.0,2596,1.7719568567026194,2,301.347572900002,301.34762630000114,STALL→tier0→1 d_max=12
EB_n150_026_a25_076,EB,150,0.25,2,2,2550.0,2574,0.9324009324009324,2,300.06049989999883,661.4120302999982,STALL→tier1→2 d_max=16
EB_n150_026_a25_076,EB,150,0.25,3,3,2550.0,2565,0.5847953216374269,2,300.2478325000011,1021.9390941999991,TIERS_EXHAUSTED
