instance,family,n,alpha,phase,tier,obj,ub,stall_run,obj_improved,gap_pct,seeds,alns_iters,n_new_best,n_improve,n_accept_worse,d_weights,r_weights,d_weights_best,r_weights_best,d_usage,r_usage,seed_list,seed_iters,best_seed,n_best_events,first_best_s,last_best_s,lag_s,phase_rt,cumul_rt,event
D_n065_030_a50_089,D,65,0.5,1,1,2337.0,2387,1,0,2.094679514034353,1,187,0,17,140,"[5.5122, 7.2014, 6.2468]","[7.4253, 6.3072, 6.4253, 5.884]",,,"[44, 75, 67]","[36, 42, 53, 55]",[42],[187],,0,,,6.0,302.9881538001355,308.9844244001433,STALL→tier0→1 d_max=12
D_n065_030_a50_089,D,65,0.5,2,2,2337.0,2365,2,0,1.1839323467230445,1,177,0,19,119,"[4.6417, 7.1469, 5.689]","[7.1923, 6.3889, 4.3687, 5.4228]",,,"[51, 63, 62]","[47, 42, 40, 47]",[42],[177],,0,,,6.14,305.30526390019804,620.4297672000248,STALL→tier1→2 d_max=17
D_n065_030_a50_089,D,65,0.5,3,3,2337.0,2348,3,0,0.46848381601362865,1,177,0,17,121,"[4.6639, 7.4808, 5.7237]","[6.88, 7.1427, 4.779, 5.3986]",,,"[48, 76, 52]","[46, 51, 34, 45]",[42],[177],,0,,,7.42,308.2296148999594,936.0752469999716,TIERS_EXHAUSTED
D_n075_040_a25_118,D,75,0.25,1,1,1820.0,1861,1,0,2.203116603976357,1,259,0,27,151,"[5.6905, 6.8213, 5.7991]","[7.0313, 7.038, 4.9312, 5.0416]",,,"[74, 90, 94]","[58, 78, 56, 66]",[42],[259],,0,,,16.54,302.81860890006647,319.35799170006067,STALL→tier0→1 d_max=9
D_n075_040_a25_118,D,75,0.25,2,2,1820.0,1835,2,0,0.8174386920980926,1,222,0,21,130,"[4.7541, 7.7302, 5.481]","[6.6893, 7.6541, 5.5761, 4.7797]",,,"[62, 91, 68]","[41, 62, 56, 62]",[42],[222],,0,,,20.75,303.8592821001075,643.9711824001279,STALL→tier1→2 d_max=12
D_n075_040_a25_118,D,75,0.25,3,3,1820.0,1828,3,0,0.437636761487965,1,243,0,22,127,"[4.1871, 7.0451, 5.3108]","[6.85, 6.9426, 4.1674, 4.1305]",,,"[62, 109, 71]","[71, 66, 50, 55]",[42],[243],,0,,,23.23,300.03300890000537,967.2371771000326,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,1,1910.0,1956,1,0,2.3517382413087935,1,226,0,23,144,"[5.4112, 7.3492, 6.7537]","[7.453, 7.2508, 5.661, 6.273]",,,"[64, 83, 78]","[52, 71, 48, 54]",[42],[226],,0,,,20.71,301.4601596998982,322.1712810001336,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,2,2,1910.0,1932,2,0,1.1387163561076603,1,189,0,16,129,"[5.7995, 7.2402, 6.0709]","[7.068, 6.9077, 5.8127, 5.4104]",,,"[53, 68, 67]","[55, 47, 52, 34]",[42],[189],,0,,,20.37,300.19064309983514,642.7361111000646,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,3,3,1910.0,1923,3,0,0.6760270410816432,1,205,0,27,107,"[4.5794, 6.4175, 5.2801]","[6.6849, 6.7544, 4.7478, 4.191]",,,"[52, 79, 73]","[53, 51, 48, 52]",[42],[205],,0,,,20.74,302.24173950008117,965.7137556001544,TIERS_EXHAUSTED
ED_n075_040_a25_118,ED,75,0.25,1,1,1588.0,1615,1,0,1.671826625386997,1,406,0,25,187,"[4.5556, 5.9209, 3.637]","[5.8852, 6.0251, 3.3656, 3.5367]",,,"[114, 184, 107]","[115, 114, 104, 72]",[42],[406],,0,,,13.32,300.430637100013,313.7493114999961,STALL→tier0→1 d_max=7
ED_n075_040_a25_118,ED,75,0.25,2,2,1588.0,1601,2,0,0.8119925046845722,2,510,0,32,166,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]",,,"[136, 214, 159]","[148, 154, 115, 92]","[42, 123]","[500, 10]",,0,,,15.53,300.36572859995067,629.6440359000117,STALL→tier1→2 d_max=10
