instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
ED_n060_022_a50_065,ED,60,0.5,022,1728.0,1737.0,775.0,1.764506,BEAT,1737.0,1766,1.6421,0,3,TIERS_EXHAUSTED,958.2,1766.6233,2,600,0,0.0,9.0,BEAT
EC_n080_033_a25_097,EC,80,0.25,033,,1806.0,773.0,0.430036,NA,1806.0,1812,0.3311,0,3,TIERS_EXHAUSTED,955.3,1812.2903,2,600,0,0.0,,NA
ED_n050_014_a50_041,ED,50,0.5,014,1787.0,1787.0,767.0,1.139633,TIE,1787.0,1797,0.5565,0,3,TIERS_EXHAUSTED,922.8,1797.6412,2,600,0,0.0,0.0,TIE
ED_n065_027_a75_081,ED,65,0.75,027,1972.0,1972.0,718.0,0.714933,TIE,1972.0,1982,0.5045,0,3,TIERS_EXHAUSTED,1017.4,1982.9815,2,600,0,0.0,0.0,TIE
C_n070_022_a50_065,C,70,0.5,022,,2052.0,698.0,1.203659,NA,2052.0,2060,0.3883,0,3,TIERS_EXHAUSTED,936.4,2060.9209,3,600,0,0.0,,NA
EB_n130_017_a50_050,EB,130,0.5,017,4402.0,4420.0,704.0,1.37671,BEAT,4421.0,4447,0.5847,0,3,TIERS_EXHAUSTED,1109.3,4447.7773,3,453,0,1.0,19.0,BEAT
B_n120_012_a25_034,B,120,0.25,012,2871.0,2871.0,633.0,0.485269,TIE,2871.0,2883,0.4162,0,3,TIERS_EXHAUSTED,991.3,2883.1379,1,600,0,0.0,0.0,TIE
B_n120_014_a25_040,B,120,0.25,014,3242.0,3242.0,586.0,1.581616,TIE,3242.0,3294,1.5786,0,3,TIERS_EXHAUSTED,948.1,3294.4618,2,600,0,0.0,0.0,TIE
ED_n065_029_a25_085,ED,65,0.25,029,,1343.0,577.0,1.235476,NA,1343.0,1351,0.5922,0,3,TIERS_EXHAUSTED,936.1,1351.7497,2,600,0,0.0,,NA
B_n120_011_a25_031,B,120,0.25,011,2526.0,2526.0,560.0,1.796128,TIE,2526.0,2575,1.9029,0,3,TIERS_EXHAUSTED,1086.6,2575.3666,2,449,0,0.0,0.0,TIE
ED_n060_022_a75_066,ED,60,0.75,022,1944.0,1944.0,559.0,0.613497,TIE,1944.0,1954,0.5118,0,3,TIERS_EXHAUSTED,983.5,1954.6449,2,600,0,0.0,0.0,TIE
EC_n070_023_a50_068,EC,70,0.5,023,2206.0,2206.0,532.0,0.545512,TIE,2206.0,2217,0.4962,0,3,TIERS_EXHAUSTED,953.5,2217.4738,2,600,0,0.0,0.0,TIE
C_n070_023_a25_067,C,70,0.25,023,1628.0,1628.0,520.0,0.324496,TIE,1628.0,1633,0.3062,0,3,TIERS_EXHAUSTED,933.4,1633.2543,1,600,0,0.0,0.0,TIE
D_n055_019_a25_055,D,55,0.25,019,1147.0,1147.0,513.0,1.256887,TIE,1147.0,1157,0.8643,0,3,TIERS_EXHAUSTED,918.4,1157.4316,2,600,0,0.0,0.0,TIE
ED_n060_024_a25_070,ED,60,0.25,024,1253.0,1253.0,507.0,1.104972,TIE,1253.0,1260,0.5556,0,3,TIERS_EXHAUSTED,942.8,1260.5936,2,600,0,0.0,0.0,TIE
ED_n065_028_a25_082,ED,65,0.25,028,,1152.0,497.0,0.466563,NA,1152.0,1157,0.4322,0,3,TIERS_EXHAUSTED,931.5,1157.1589,1,600,0,0.0,,NA
EB_n120_014_a25_040,EB,120,0.25,014,2707.0,2707.0,469.0,0.864279,TIE,2707.0,2721,0.5145,0,3,TIERS_EXHAUSTED,952.6,2721.5417,2,600,0,0.0,0.0,TIE
B_n130_017_a25_049,B,130,0.25,017,3062.0,3061.0,462.0,0.409943,GAP,3062.0,3074,0.3904,0,3,TIERS_EXHAUSTED,1074.7,3074.3887,2,444,0,1.0,0.0,TIE
D_n065_030_a25_088,D,65,0.25,030,,1698.0,435.0,0.811963,NA,1698.0,1707,0.5272,0,3,TIERS_EXHAUSTED,1066.5,1707.0872,2,600,0,0.0,,NA
EC_n075_030_a50_089,EC,75,0.5,030,,2456.0,412.0,0.437814,NA,2456.0,2465,0.3651,0,3,TIERS_EXHAUSTED,958.6,2465.7581,2,600,0,0.0,,NA
B_n130_019_a25_055,B,130,0.25,019,3359.0,3359.0,401.0,1.521593,TIE,3359.0,3410,1.4956,0,3,TIERS_EXHAUSTED,961.8,3410.8117,2,600,0,0.0,0.0,TIE
EC_n070_023_a25_067,EC,70,0.25,023,1496.0,1496.0,347.0,0.465735,TIE,1496.0,1501,0.3331,0,3,TIERS_EXHAUSTED,932.6,1501.8950,2,600,0,0.0,0.0,TIE
B_n110_006_a25_016,B,110,0.25,006,2434.0,2434.0,374.0,1.577032,TIE,2434.0,2473,1.5770,0,3,TIERS_EXHAUSTED,1033.3,2473.3150,2,600,0,0.0,0.0,TIE
EC_n075_028_a25_082,EC,75,0.25,028,,1697.0,322.0,0.404953,NA,1697.0,1703,0.3523,0,3,TIERS_EXHAUSTED,965.2,1703.4260,2,600,0,0.0,,NA
D_n065_028_a25_082,D,65,0.25,028,,1383.0,266.0,0.374586,NA,1383.0,1388,0.3602,0,3,TIERS_EXHAUSTED,929.9,1388.2076,1,600,0,0.0,,NA
EB_n130_019_a25_055,EB,130,0.25,019,2807.0,2807.0,266.0,0.689899,TIE,2807.0,2819,0.4257,0,3,TIERS_EXHAUSTED,942.0,2819.9263,2,600,0,0.0,0.0,TIE
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,311.0,1.8598,TIE,2744.0,2797,1.8949,0,3,TIERS_EXHAUSTED,1076.7,2797.9348,2,502,0,0.0,0.0,TIE
ED_n040_004_a50_011,ED,40,0.5,004,1154.0,1154.0,210.0,1.207088,TIE,1154.0,1165,0.9442,0,3,TIERS_EXHAUSTED,902.5,1165.1444,1,600,0,0.0,0.0,TIE
