instance,family,obj,published_ub,published_gap_pct,lb2_floor,min_ub,new_gap_pct
C_n065_018_a25_052,C,1386.0,1386.0,0.0,1874,1386.0,0.0
C_n065_018_a50_053,C,1905.0,1908.0,0.1572,2141,1908.0,0.15723270440251574
C_n065_018_a75_054,C,2146.0,2146.0,0.0,2153,2146.0,0.0
C_n065_019_a25_055,C,1864.0,1864.0,0.0,2165,1864.0,0.0
C_n065_019_a50_056,C,2464.0,2465.0,0.0406,2603,2465.0,0.04056795131845842
C_n065_019_a75_057,C,2600.0,2600.0,0.0,2603,2600.0,0.0
C_n065_020_a25_058,C,1566.0,1568.0,0.1276,2142,1568.0,0.12755102040816327
C_n065_020_a50_059,C,2323.0,2325.0,0.086,2511,2325.0,0.08602150537634409
C_n065_020_a75_060,C,2489.0,2489.0,0.0,2522,2489.0,0.0
C_n070_021_a25_061,C,1314.0,1317.0,0.2278,1783,1317.0,0.22779043280182232
C_n070_021_a50_062,C,1964.0,1965.0,0.0509,2035,1965.0,0.05089058524173028
C_n070_021_a75_063,C,2035.0,2035.0,0.0,2041,2035.0,0.0
C_n070_022_a25_064,C,1413.0,1415.0,0.1413,2031,1415.0,0.1413427561837456
C_n070_022_a50_065,C,2052.0,2060.0,0.3883,2100,2060.0,0.3883495145631068
C_n070_022_a75_066,C,2102.0,2102.0,0.0,2103,2102.0,0.0
C_n070_023_a25_067,C,1628.0,1633.0,0.3062,2108,1633.0,0.3061849357011635
C_n070_023_a50_068,C,2305.0,2305.0,0.0,2361,2305.0,0.0
C_n070_023_a75_069,C,2359.0,2359.0,0.0,2365,2359.0,0.0
C_n070_024_a25_070,C,2046.0,2046.0,0.0,2475,2046.0,0.0
C_n070_024_a50_071,C,2863.0,2863.0,0.0,3013,2863.0,0.0
C_n070_024_a75_072,C,3009.0,3009.0,0.0,3013,3009.0,0.0
C_n070_025_a25_073,C,1680.0,1681.0,0.0595,2355,1681.0,0.0594883997620464
C_n070_025_a50_074,C,2449.0,2451.0,0.0816,2626,2451.0,0.08159934720522236
C_n070_025_a75_075,C,2601.0,2601.0,0.0,2626,2601.0,0.0
C_n075_026_a25_076,C,1316.0,1317.0,0.0759,1804,1317.0,0.07593014426727411
